text,label
t d4ng bi t.a.i.n.4.n cap c.uu. ma.y c.k. t 10 tr n.h.a.n.h,9
t d4ng bi t.a.i.n.4.n cap c.uu. ma.y c.k. t 10 tr n.h.a.n.h,9
ủa bồ ơi hôm trước p.h.4.t ng.u.0.i bạn nộp tiền chưa? Hôm qua tui vừa nộp xong cay quá trời ơi,22
d4y l4 c0ng.a.n y3u c4u b chuy3n k.h.0.a..n d3 phuc vu di3u tr4,0
ủa bồ ơi hôm trước p.h.4.t ng.u.0.i bạn nộp tiền chưa? Hôm qua tui vừa nộp xong cay quá trời ơi,22
yeu cau ng dan t4i app v.n.e.i.d bac bo qua duong l.i.n.k de k xoa dulieu,1
"A lô, tui nà cảnh sát giao thông huyện, hổm nai thấy anh chạy ẩu lấn tuyến hà. Có cái biên lai p.h.a.t ng.u.o.i về tới nơi gòi nghen. Kêu người nhà c.h.u.y.ế.n k.h.o.ả.n qua cái số tài khoản k.h.o b.a.c nhà nước này cho xong chuyện chớ hông tui bắt cúp bằng lái bây giờ.",0
d4y l4 c0ng.a.n y3u c4u b chuy3n k.h.0.a..n d3 phuc vu di3u tr4,0
"Em chào chị gái dễ thương, chị đã đặt hàng đôi giày trên tiktok shop bên em phải không ạ? Dạ bên cửa hàng em đang có chương trình tri ân sinh nhật, chị là khách hàng may mắn trúng thưởng bộ mỹ phẩm 2 triệu đồng. Chị chỉ cần c.l.i.c.k l1nk v.n.e.i.d đăng nhập để em xác nhận là mai có shipper giao tận giường cho chị nha!",1
"ê dạo này làm ăn chán quá, nay t nghỉ làm do xe bị t.a.i n.a.n nát bét rồi. Khổ thế k biết. Tí mua cho m hộp cơm k nha",22
yeu cau ng dan t4i app v.n.e.i.d bac bo qua duong l.i.n.k de k xoa dulieu,1
"mày ơi t đang bị nghét xe ở ngoài đường, mày ck cho con vợ tao cái tiền điện tháng này với nhé. Tý tui về đưa tiền mặt",22
d4y l4 c0ng.a.n y3u c4u b chuy3n k.h.0.a..n d3 phuc vu di3u tr4,0
"ê dạo này làm ăn chán quá, nay t nghỉ làm do xe bị t.a.i n.a.n nát bét rồi. Khổ thế k biết. Tí mua cho m hộp cơm k nha",22
"Dạ alo em chào anh ạ, em là Ngọc nhân viên bên tổng đài điện lực ạ. Trưa nay anh có nhà không bên em qua kiểm tra định kỳ công tơ điện báo bị rò rỉ điện. À anh không ở nhà à? Thế thì để anh đỡ mất thời gian chạy về, anh tải giúp em app d.i.c.h.v.u.c.0.n.g. này nhé để em làm báo cáo từ xa cho anh khỏi bị cắt điện nha.",1
