text,label
"Alo, mẹ ơi con đây. Con vừa đọc báo thấy bài cảnh báo lừa đảo qua MoMo, mẹ nhớ không bấm vào link lạ nhé.",22
"Chị ơi hôm qua em bị gọi điện nói là công an, nhưng em biết là lừa đảo nên em cúp máy luôn rồi.",22
"Bạn có biết dạo này có chiêu lừa đảo mới không, chúng giả danh cán bộ BHXH yêu cầu cập nhật thông tin.",22
"Anh ơi em muốn hỏi về thủ tục đóng bảo hiểm xã hội tự nguyện, em phải đến văn phòng BHXH quận không?",22
"Tôi cần tra cứu thông tin phạt nguội xe máy biển số 51F, làm ơn hướng dẫn tôi vào cổng nào ạ.",22
"Con trai ơi, bố gọi hỏi thôi, hôm nay con có về ăn cơm không, bố với mẹ nấu canh cua con thích đó.",22
"Alo Lan ơi, tớ đây, mày có thể cho tớ mượn cuốn sách kế toán không, tớ cần xem qua chút thôi.",22
"Mình vừa đọc bài báo nói có nhóm lừa đảo giả vờ là nhân viên ngân hàng gọi điện khóa thẻ, mọi người cẩn thận nhé.",22
"Chào anh, em là Hoa bên phòng kế toán công ty ABC, em gọi xác nhận lại hóa đơn tháng trước đã thanh toán chưa ạ.",22
"Mình chuyển khoản 200k cho quỹ lớp nhé, tài khoản số bao nhiêu vậy bạn, gửi cho mình với.",22
"Alo ba ơi, ba có cần con chuyển tiền về không, ba nói con nghe với, tháng này ba có đủ tiền thuốc không?",22
"Tôi muốn hỏi thủ tục rút bảo hiểm thất nghiệp, mang giấy tờ gì và nộp ở đâu vậy anh?",22
"Con vừa nhận được cuộc gọi lạ nói là công an thành phố, mẹ ơi con không tin và cúp máy rồi, đúng không?",22
"Hôm nay mình kể cho bạn nghe, tuần trước mình suýt bị lừa 50 triệu vì chúng nó giả làm nhân viên VietinBank.",22
"Anh ơi đây là số tài khoản công ty để thanh toán hợp đồng: Vietcombank 1234567890, tên chủ tài khoản Nguyễn Văn A.",22
"Mình đang học bài về luật hình sự, bài tập có tình huống rửa tiền giả định, thầy cho ví dụ về chuyển tiền bất hợp pháp.",22
"Alo, tôi là khách hàng cũ, tôi muốn hỏi lại về gói bảo hiểm nhân thọ tôi đã mua năm ngoái còn hiệu lực không?",22
"Em ơi, chị muốn chuyển khoản tiền thuê nhà tháng này, anh chủ nhà ơi cho chị xin lại số tài khoản đi ạ.",22
"Bạn bè ơi, mình chia sẻ bài cảnh báo lừa đảo này để mọi người đề phòng, đừng chuyển tiền khi chưa xác minh nhé.",22
"Tôi cần tư vấn về bảo hiểm y tế, con tôi năm nay vào lớp 1, nhà trường yêu cầu đóng BHYT, thủ tục thế nào?",22
"Alo anh Hùng ơi, anh xem lại đơn hàng mình đặt hôm qua chưa, mình thanh toán MoMo rồi nhưng chưa thấy xác nhận.",22
"Chị ơi, em đặt đơn bên Shopee, em đã thanh toán online, sao chưa thấy trạng thái xác nhận vậy chị?",22
"Tụi mình nói chuyện về vụ lừa đảo đa cấp hôm qua, anh Tú bị mất 30 triệu rồi mới biết là bẫy, thương quá.",22
"Bạn ơi bạn có số điện thoại công an phường mình không, mình muốn hỏi thủ tục trình báo mất xe đạp.",22
"Con ơi, bố đang ở ngân hàng làm thẻ mới, nhân viên hỏi bố về căn cước công dân, bố hỏi con có cần mang gì thêm không.",22
"Mình kể câu chuyện cười cho bạn nghe nhé, hôm qua có người gọi điện tự xưng là công an hỏi mình có biết Nguyễn Văn A không.",22
"Em cần đổi tiền mặt sang tài khoản, em có thể nộp tiền mặt tại quầy rồi chuyển khoản đi không anh nhân viên?",22
"Mọi người ơi ai biết cách xem lịch sử giao dịch MoMo từ 3 tháng trước không, mình cần đối chiếu hóa đơn.",22
"Con chào mẹ, con đang ở trường, lát con về sớm. Ở nhà mẹ nhớ không nghe điện thoại người lạ nha, dạo này lừa đảo nhiều.",22
