"text","label"
"Alo mẹ ơi, con bị tai nạn gấp lắm, mẹ chuyển ngay 50 triệu vào tài khoản này để bác sĩ phẫu thuật gấp cho con.","4"
"Ba ơi con đang bị công an giữ, con cần ba chuyển tiền gấp không thì con bị bắt, ba chuyển nhanh đi.","7"
"Mẹ ơi con đang ở bệnh viện, con bị đánh rất nặng, mẹ gọi video cho con đi, con cần mẹ chuyển tiền cấp cứu ngay.","7"
"Anh ơi em đang bị bắt cóc, họ nói nếu anh không chuyển 100 triệu trong vòng 1 tiếng thì em sẽ bị hại.","7"
"Con ơi, đây là mẹ, mẹ bị giữ ở đồn công an, mẹ cần con chuyển tiền bảo lãnh gấp 30 triệu, con đừng nói ai.","7"
"Bạn ơi mình đang gặp nạn, mình bị cướp hết tiền rồi, bạn chuyển cho mình 10 triệu để mình về nhà, mình sẽ trả lại ngay.","7"
"Alo đây là con gái ba, con đang ở nước ngoài, con bị mất hết giấy tờ và tiền, ba chuyển gấp 20 triệu cho con nhé.","7"
"Mẹ ơi giọng con đây, con gọi video mẹ thấy mặt con không, con bị tai nạn xe máy đang nằm viện cần tiền gấp.","7"
"Ba ơi con đây, con gọi video để ba thấy mặt con, con đang ở bệnh viện Chợ Rẫy, bác sĩ nói cần mổ gấp phải đóng tiền trước.","7"
"Chị ơi em đây, em gọi video cho chị thấy, em bị thương nặng lắm, chị chuyển giúp em 15 triệu vào số tài khoản này.","7"
"Alo anh ơi, đây là em Hương, em vừa bị cướp giật điện thoại và ví, em mượn điện thoại người lạ gọi, anh chuyển tiền gấp cho em.","7"
"Cháu ơi, đây là bác gái, bác đang ở bệnh viện cấp cứu, bác cần cháu chuyển khoản 25 triệu đóng viện phí gấp.","4"
"Con trai ơi, đây là mẹ, mẹ vừa bị té ngã phải nhập viện, bác sĩ nói mẹ cần phẫu thuật gấp, con chuyển tiền vào tài khoản này.","7"
"Bạn ơi mình đang bị giữ ở sân bay vì mang hàng cấm, bạn chuyển cho mình 40 triệu để đóng phạt, không thì mình bị bắt.","7"
"Anh ơi em gọi video để anh thấy em đây, em đang bị kẹt ở Campuchia, họ bắt em làm việc, anh gửi tiền chuộc em về.","7"
"Alo cô ơi, đây là cháu Minh, cháu đang gặp chuyện khẩn cấp, cháu cần cô chuyển gấp 10 triệu, cháu sẽ giải thích sau.","7"
"Mẹ ơi con đang video call cho mẹ thấy, mẹ nhìn mặt con đây, con cần mẹ chuyển khoản ngay 50 triệu để trả nợ không thì chúng nó đánh con.","7"
"Ba ơi, nhóm người này nói nếu ba không chuyển tiền trong 30 phút, chúng sẽ bán con sang nước ngoài, ba cứu con.","7"
"Alo chị ơi, em đang ở đồn công an, em bị buộc tội rửa tiền, chị chuyển 80 triệu để bảo lãnh em ra.","7"
"Cháu ơi đây là ông nội, ông đang ở bệnh viện, ông bị đau tim phải mổ gấp, cháu chuyển tiền vào đây giúp ông.","4"
"Con ơi mẹ gọi video cho con thấy, mẹ bị tai nạn giao thông đang chờ xe cấp cứu, con chuyển tiền viện phí trước đi.","7"
"Anh ơi em gọi video đây, em bị nhóm người lạ bắt giữ, chúng nó giữ điện thoại em, anh chuyển 200 triệu vào STK này ngay.","7"
"Alo đây là Tuấn bạn con, con bạn đang bị thương rất nặng, chú chuyển khoản 30 triệu để bác sĩ cấp cứu gấp.","4"
"Mẹ ơi con đang ở phòng cấp cứu, mẹ gọi video thấy mặt con đúng không, mẹ đừng hỏi nhiều, mẹ chuyển tiền ngay đi.","7"
"Em gọi video cho anh thấy, em đang bị giam ở nhà nghỉ, họ nói em dính vào vụ án ma túy, anh chuyển tiền để em được thả.","7"
"Cháu ơi bác đang nằm viện, bác sĩ nói phải mổ tim gấp trong vòng 2 tiếng, cháu chuyển 100 triệu vào tài khoản của bệnh viện.","4"
"Alo con ơi, đây là giọng bố, bố bị xe tông nằm ngoài đường, người ta mượn điện thoại gọi cho con, con chuyển tiền viện phí ngay.","7"
"Anh ơi em là Linh, em video call cho anh đây, em bị người ta lừa sang Lào làm việc, anh gửi tiền chuộc em.","7"
"Mẹ ơi con gọi Zalo video cho mẹ đây, con bị đuổi khỏi ký túc xá vì chưa đóng tiền, mẹ chuyển gấp 7 triệu cho con.","7"
"Bạn ơi mình bị kẹt ở Myanmar, chúng nó bắt mình gọi video cho gia đình đòi tiền chuộc, bạn giúp mình liên hệ công an.","7"
"Ba ơi con đang ở bệnh viện Bình Dân, video call cho ba thấy con đang nằm giường bệnh, con cần 20 triệu đóng viện phí trước.","7"
"Alo chị ơi, tiếng em đây, em gọi video cho chị thấy, em bị tai nạn lao động, chị chuyển tiền cấp cứu cho em.","7"
"Cô ơi đây là giọng cháu Hà, cháu bị bắt cóc ở Sài Gòn, cô đừng báo công an, cô chuyển 50 triệu vào STK này để chuộc cháu.","7"
"Con trai ơi mẹ video call cho con thấy mẹ đây, mẹ đang ở bệnh viện, mẹ bị gãy chân phải mổ, con chuyển tiền gấp.","7"
"Anh ơi em gọi video call, anh thấy mặt em rồi đúng không, em bị giữ hộ chiếu ở Dubai, anh chuyển tiền mua vé máy bay về.","7"
"Alo mẹ ơi đây là giọng con, con bị bắt vì nợ tiền người ta, mẹ đừng gọi lại số này, mẹ chuyển 30 triệu vào STK con nhắn.","7"
"Ba ơi con đang gặp nguy hiểm, con video call cho ba thấy, ba đừng thông báo cho ai, ba chỉ cần chuyển tiền là con được thả.","7"
"Chị ơi em bị tai nạn đang cấp cứu, em nhờ người gọi video cho chị, chị thấy em rồi đúng không, chị chuyển 15 triệu gấp.","7"
"Mẹ ơi con bị đánh phải nằm viện, mẹ đừng khóc, mẹ chuyển tiền vào đây để bác sĩ mổ cho con, sóng yếu con không gọi lâu được.","7"
"Alo đây là bệnh viện, con gái bà đang cấp cứu, bà cần chuyển khoản 40 triệu để chúng tôi tiến hành phẫu thuật ngay.","4"
"Con ơi, mẹ mới video call cho con đó, mẹ thấy mặt con, sao giọng con lạ thế, có phải con thật không hay deepfake?","22"
"Alo, mẹ gọi hỏi con thôi, hôm nay con có khỏe không, mẹ nhớ con quá, con ăn uống đầy đủ chưa?","22"
"Bạn ơi video call mình với, lâu rồi không gặp, tụi mình gọi video Zalo nói chuyện chơi đi.","22"
"Em gọi video cho anh chị thấy bếp mới của em nè, em vừa sửa nhà xong, đẹp lắm anh chị ơi.","22"
"Con gọi video cho ba mẹ đây, con muốn khoe căn phòng ký túc xá mới, ba mẹ thấy rộng không?","22"
"Alo anh ơi, em gọi video để anh thấy phòng ở bên Hàn Quốc của em, em vừa sắp xếp lại, anh thấy thế nào?","22"
"Mẹ gọi video cho con đây, mẹ muốn khoe món ăn mẹ vừa nấu, con nhớ canh chua của mẹ không?","22"
"Bạn ơi mình gọi video để tụi mình tập thuyết trình online, ngày mai mình trình bày trước lớp.","22"
"Chào các bạn, mình mở video để họp nhóm dự án luận văn, mọi người bật camera lên nhé.","22"
"Alo chị ơi em gọi video Zalo cho chị thấy em bé, em bé mới biết đi nè, dễ thương lắm chị ơi.","22"
"Mình gọi video call để phỏng vấn xin việc online, nhà tuyển dụng yêu cầu phỏng vấn qua Google Meet.","22"
"Em gọi video cho mẹ đây, hôm nay em được nghỉ sớm nên em muốn nói chuyện với mẹ, mẹ khỏe không?","22"
"Anh ơi, anh gọi video Zalo cho em nha, em muốn hỏi anh ý kiến về bộ đồ em mới mua, mặc thế nào.","22"
"Ba ơi con gọi video cho ba, con muốn ba thấy con đang ở biển Đà Nẵng, nước đẹp lắm ba ơi.","22"
"Alo cô ơi, cháu gọi video cho cô thấy mặt cháu, cháu nhớ cô quá, cô có khỏe không?","22"
"Mình nói chuyện về vụ deepfake lừa đảo hôm qua trên báo, bạn đọc chưa, kinh khủng lắm luôn.","22"
"Em ơi, hôm qua chị đọc báo thấy có vụ deepfake giả mạo video call để lừa tiền, chị lo cho em quá.","22"
"Con kể mẹ nghe, hôm qua bạn con bị lừa bằng deepfake, chúng nó giả giọng mẹ bạn ấy gọi xin tiền.","22"
