text,label
ê m có biết tiệm cắt tóc nào xịn ở thủ đức khum,22
Cơ quan BHXH xác minh danh tính chuyển 500k vào tài khoản bảo vệ,1
bưu điện bắt đóng thuế mới đưa đt ck tiền thuế dô link này,17
App VCB Digibank yêu cầu xác thực sinh trắc học qua link lạ không phải app store,16
cài vneid bản mới quét cccd qua link t gửi khum là bị khoá,1
tk m bank bé bị locked gửi cái otp t check liền nha,16
ACB gọi báo hệ thống nâng cấp bảo mật chuyển tiền tạm giữ an toàn,16
Bảo hiểm xã hội VN báo anh được hoàn tiền 8 triệu nộp phí xử lý 500k,1
Nhà thuốc Long Châu gọi báo thuốc bố đặt có hàng rồi ạ,22
Trung tâm BHXH báo anh chưa đóng đủ 20 năm nộp thêm 10 triệu,1
dcm bhxh gọi bảo lương hưu bị treo nộp 2 củ mở khoá,1
Anh IT ơi máy tính em bị virus quét giúp em với,22
ê c.a gọi bảo m dính vụ ma túy ck 30 củ bảo lãnh,0
Sàn ngoại hối Forex lãi suất 200% tuyển đại lý nạp 5 triệu,11
m ơi tuần sau sinh nhật ba t mua gì tặng ba đây,22
Bưu điện báo phát đơn thất lạc kiện hàng 500 đô thanh toán thuế,17
Em ơi xe máy hết đăng kiểm rồi mai đi làm lại nhé,22
Ngân hàng SHB báo giao dịch chuyển tiền quốc tế 5000 đô xác nhận OTP,16
Trại mồ côi gặp hỏa hoạn thiếu quần áo nạp thẻ cào giúp đỡ,10
nhan dc li xi zl nạp vip 5 xị rut ra duoc 5 chẹo,13
Mày ơi tao dùng nick phụ gọi video quên ví chuyển tao 2 triệu,7
tớ dính phốt trên trường ck gấp 10 tr dô stk giáo viên,7
Post Facebook kêu gọi ủng hộ bé ung thư kèm STK cá nhân không xác minh,10
Em gái gọi nè chị mua váy cưới xong chưa,22
ê hôm qua t chuyển khoản mua đồ trên shopee thật nè,22
Tao vừa ra trường rồi tuần sau đi ăn mừng nha,22
Em kế toán gọi nhắc anh chị đi chấm công cuối tháng,22
m ơi cho t mượn sạc dt cái pin t sắp cạn r,22
Nhân viên VPBank yêu cầu chuyển tiền vào tài khoản giám sát để xác minh,16
em cún bị lủng ruột thuơng quá ai ck momo sdt ni giúp,10
alo bồ nè t đang ở siêu thị m cần mua gì khum,22
tiki gửi msg trúng máy giặt samsung nộp 1 củ ship nha,13
Giọng nói giống người thân nhưng hơi robot báo tai nạn xin tiền viện phí,7
ê tao suýt bị lừa App VNeID giả đấy cẩn thận nha,22
vợ ck kêu gọi lũ lụt tau làm từ thiên ck t nha,10
Anh ơi meeting 2h chiều nay phòng họp A3 nhé,22
Bạn ơi cho mình mượn giáo trình toán mai thi rồi,22
mày ơi tao mới adopt 1 bé mèo cute vl qua coi đi,22
Anh ơi em grab bike đang tới điểm đón 5 phút nữa,22
Sổ BHXH anh bị đóng trùng 2 năm hoàn tiền qua link đăng ký này,1
ủa trúng air bờ rô mắc shopee gòi nè ck 2 củ thuế lụm,13
Em bên trung tâm BHXH thay đổi mã số sổ mới cung cấp OTP xác nhận,1
Đoàn thanh niên quyên góp giúp đồng bào dân tộc chuyển khoản STK này,10
Lazada chúc mừng bạn trúng giải nhất MacBook Pro đóng phí ship nhận hàng,13
ZaloPay thông báo ví điện tử bị truy cập trái phép xác minh ngay,16
Quay vòng may mắn trúng giải đặc biệt 1 tỷ đồng nộp thuế TNCN 10 phần trăm,13
shipper giao hàng t đặt trên tiki thật nè m nhận giúp t,22
ê ngân hàng gọi bảo tk m dính rửa tiền ck 10 tr xác minh,16
t gửi m ảnh chụp ở đà nẵng nè xem ik đẹp vl,22
Mẹ ơi con vừa đỗ đại học Bách Khoa rồi nè,22
ê bồ t tai nạn mạng lag 4g gọi tậm tịt ck mượn 50 chiệu,7
Lâu quá không gặp hen cf sáng mai Highlands nha,22
Bưu tá gọi bưu phẩm chứa ma túy nối máy công an,17
Quay số may mắn trúng iPhone 15 Pro Max nộp thuế 3 triệu nhận máy,13
Bà ngoại gọi hỏi thăm cháu có khỏe không ăn cơm chưa,22
Nhóm mình góp quà cưới cho Hùng bao nhiêu mày,22
Bảo hiểm xã hội gọi anh có khoản truy lĩnh 3 năm nộp phí nhận tiền,1
xin 500ae donate cho viện dưỡng lão số tk cá nhân nha,10
Hội từ thiện gây quỹ mổ tim cho bé 3 tuổi chuyển tiền vào tài khoản này,10
tui thiếu tá can huyện nè bà bị tố cáo ck 10 củ phạt qua momo,0
thẻ bhyt m hết hạn click link này đóng online khỏi ra phường,21
Đơn hàng trả về vào link cài app theo dõi hỏa tốc,17
thương xót bé ung thư ck mạnh vô stk 12344 trại nhi đồng,10
ê t NH nè tk m đang bị chuyển 50 tr đọc otp chặn gấp,16
Nha khoa Paris nhắc lịch hẹn niềng răng tuần sau ạ,22
Tiki chúc mừng khách hàng trúng máy giặt Samsung nộp phí giao hàng,13
bhxh gọi bảo sổ t hết hạn r ck 5 trăm gia hạn lẹ đi,1
Dì ba gọi nè cuối tuần lên dì ăn giỗ nha con,22
Trường mầm non Hướng Dương gọi phụ huynh đón bé lúc 4h30,22
Việc nhẹ lương cao bấm follow tiktok vốn nộp 15 tỷ crypto,12
dcm bidv gọi bảo thẻ bị clone ck 2 tr phí đổi thẻ,16
Chúc mừng thuê bao trúng thưởng tivi Sony 65 inch nộp phí vận chuyển nhận giải,13
Dạ em giao hàng Shopee Express anh ra cổng nhận giúp em,22
mẹ hỏi cái app chống lừa đảo tải ở đâu chỉ mẹ với,22
ê t trả m 500k hôm trc mượn nè ck momo r check,22
Anh ơi nhà hết gạo rồi ghé mua 10kg về nhé,22
Giao Tiki đơn này thanh toán rồi quên thu phí ship 30k nhấn link trả,17
Chương trình thiện nguyện cứu chó mèo hoang donate vào tài khoản admin,10
Kêu gọi cứu trợ bão lụt miền Bắc chuyển tiền vào STK trưởng nhóm,10
Cuối tuần đi Vũng Tàu tắm biển không gia đình mình,22
ê m cf tối ni khum t chờ ở highland q7,22
ngân hàng gọi thật nè nhắc t đến hạn trả thẻ tín dụng tháng này,22
shipper giao thật nè m ơi t đặt cơm trưa trên grab,22
Mày có biết chỗ nào học IELTS ổn không giới thiệu tao,22
Gọi messenger video mặt bạn thân báo cấp cứu tại Thái Lan xin tiền vé bay về,7
Dượng gọi nè con trai ơi cuối tuần phụ dượng sơn nhà,22
Shipper grab đơn bị hoàn do sai địa chỉ click link tra cứu đơn,17
t nghe bh gọi bảo có trợ cấp thất nghiệp nạp tiền nhận nè,1
Shopee Express đơn hàng bị trả về vào app cài lại theo dõi,17
Nhân viên ngân hàng gọi bảo tài khoản chị bị treo chuyển 5 triệu mở khóa,16
m ơi mặt t đây gọi vid nãy kẹt sân bay mất giấy tờ ck 2 chẹo,7
bảo hiểm gọi nè bà bảo tử tuất 20 củ đóng phí 2 tr,1
Cơ quan BHXH yêu cầu anh chuyển tiền vào tài khoản an toàn để bảo vệ sổ,1
Sendo chúc mừng trúng thưởng laptop Dell nộp thuế nhập khẩu nhận hàng,13
Ngân hàng gửi SMS báo thẻ bị charge đóng 2 triệu phí chặn giao dịch,16
dcm trúng galaxy s25 ultra mà đóng 3 tr thuế scam vl,13
tao trúng xe máy yamaha bắt nộp 8 cu thuế r mới giao,13
Ba ơi con cần tiền đóng học phí kỳ này 5 triệu,22
cay vãi vcb báo trừ 20 củ gửi otp xác minh lại vs,16
sổ b.h.x.h bị khoá r ô tê bê gửi r đó điền dô đi,1
agribank bảo m trúng tín dụng 500 lít bấm link đăng ký lẹ,16
VssID báo thẻ BHYT không hợp lệ tải app mới quét CCCD cập nhật,1
Gói quà Mỹ kẹt Tân Sơn Nhất đóng 5 triệu phí sân bãi,17
tk tpbank m bị ai đó login lúc 3h sáng đọc otp lock acc,16
VssID thông báo tài khoản bị khóa do đăng nhập bất thường cài lại app,1
t mới đi nộp BHXH ở phường xong r mệt vãi luôn,22
Cháu ơi ông ngoại gọi hỏi thi đại học xong chưa,22
Nick Facebook mới lập gọi video mặt quen xin mượn tiền gấp không trả được,7
hệ thống dvc đang bảo trì cấp quyền trợ năng t check lỗi hộ khẩu,1
Dịch vụ giặt ủi gọi báo đồ giặt xong rồi anh qua lấy,22
ba bị xe tông nằm viện nè gọi vid cam lag ck tiền mổ gấp,7
Con gái ơi gửi mẹ số tài khoản mẹ chuyển tiền sinh hoạt,22
app đi bộ kiếm tiền install đầu tư 5 củ mua giày premium,11
bé na bị tay chân miệng nhập viện ck mượn t tiền thuốc gấp,7
ê m biết app nào check số dt scam khum chỉ t với,22
alo bhxh đây sổ anh dính sai 3 năm ck 5 tr chỉnh lại,1
Anh ơi wifi nhà mình lag quá gọi FPT sửa đi,22
dcm bh xã hội đòi ck 1 củ xác minh số sổ scam vl,1
Em trai ơi bay về Tết chưa đặt vé sớm đi,22
Bé Na được 10 điểm toán nè ba khen con cái,22
grab tri ân trúng chuyến đi bali ck 5 lít phí visa lẹ,13
Mày đá banh sân Thống Nhất chiều nay không 5h,22
Bệnh viện Chợ Rẫy gọi nhắc lịch tái khám ngày mai ạ,22
Trung tá bộ CA bảo tài khoản anh dính đường dây cá độ nghìn tỷ nộp phạt,0
CA phường gọi anh có lệnh truy nã quốc tế ck 25 triệu bảo lãnh,0
Facebook thông báo tài khoản trúng quà 10 triệu bấm link nhận thưởng,13
bhxh tỉnh gọi bảo được hoàn 5 chẹo nạp 500k phí nhận,1
t bắt đáy shitcoin doge lời x100 nạp 10k$ dô sàn ftx2,11
BHXH tỉnh gọi báo quyền lợi thai sản của chị cần đóng phí giải ngân,1
bạn t làm dvc bảo cài app apk sync dữ liệu cccd gắn chip,1
Vietcombank thông báo tài khoản bị đăng nhập trái phép đọc OTP để khóa,16
Email lạ báo trúng giải thưởng xổ số quốc tế 500 nghìn đô nộp thuế nhận,13
Chị được hưởng chế độ ốm đau BHXH đóng phí thủ tục 1 triệu để nhận,1
ba t bị mấy đứa lừa đảo gọi hoài nên t cài app chặn,22
Zalo group lạ share link donate cho nạn nhân thiên tai vào tk cá nhân,10
Mày ơi cuối tuần đi Đà Lạt không tao book phòng rồi,22
J&T express đơn hoàn thành mà thu tiền lỗi ck lại 30k nha,17
Viện kiểm sát gọi có lệnh bắt giam chuyển 100 triệu tại ngoại,0
t đang chờ shipper thật giao đồ ăn nè 15p nữa tới,22
Tài khoản Techcombank bị khóa do nghi ngờ rửa tiền chuyển tiền xác minh,16
ê hội cũ cuối tuần nhậu nhà t nha ai cũng ok r,22
Hướng dẫn order đơn ảo Shopee hoa hồng 20% đặt cọc 10 triệu,12
Bảo hiểm y tế hết hạn thẻ bấm link này đóng tiền gia hạn online,1
Quỹ vì trẻ em nghèo kêu gọi donate qua MoMo số điện thoại này,10
Chị kế toán gọi nè anh ký duyệt hóa đơn giúp chị,22
m đi đóng bhyt ở phường xong chưa sắp hết hạn r đó,22
Alo CA huyện nè bà bị tố cáo lừa đảo đóng 10 củ nộp phạt qua momo,0
Trung tâm bảo hành Samsung báo máy anh sửa xong rồi ạ,22
ACB thông báo tài khoản bị phong tỏa chuyển tiền vào tk an toàn,16
BHXH thông báo trợ cấp covid đợt cuối nạp 500k phí thủ tục nhận,1
Lương hưu của bác bị treo do hệ thống lỗi nộp 1 triệu phí xử lý,1
Cô ơi cháu bé nhà mình bị té cầu thang chuyển 20 triệu cấp cứu,7
Số dư tài khoản BIDV bị trừ 20 triệu từ IP nước ngoài xác nhận OTP,16
NHNN yêu cầu liên kết ví Momo với tài khoản ngân hàng đọc mã xác thực,16
VNeID phiên bản cũ bị vô hiệu hóa ngày mai tải bản cập nhật link này,1
nhà chùa quyên góp phóng sinh ck vô sdt sư thầy nha,10
Ngân hàng VCB chi nhánh thông báo thẻ ATM hết hạn đổi thẻ mới,22
Ông ngoại vào viện khám sức khỏe định kỳ thôi đừng lo,22
sổ bhxh phông bạt thui t rút hết click link nhận nè,1
ê mai thi cuối kỳ r ôn bài chung khum t qua nhà m,22
Chị hai gọi nè mai giỗ ông nội nhớ mua hoa nha,22
Con gái ơi ba bị cướp giật gọi video nè con thấy mặt ba chuyển tiền,7
vssid hỏng r tải link apk mới đồng bộ bhyt cccd gấp,1
tải app check link shipper bom hàng đi coi cho lẹ nèk,17
Đang làm gì đấy tao bị tai nạn video mạng lag chuyển tao 5 triệu,7
Ông nội gọi cháu nè mai chở ông đi viện tái khám,22
Con ơi ba đi công tác về thứ 6 nhé nhớ ba không,22
Nghệ sĩ kêu gọi từ thiện xây cầu nông thôn chuyển khoản vào tk cá nhân,10
tui bên trung tâm hành chính acc vneid chị bị treo share zalo video,1
em giao shopee nè ck momo 1 củ e vứt qua rào,17
Cơ quan BHXH thông báo truy lĩnh lương hưu 15 triệu đóng phí xử lý,1
tau bên bộ CA nè m dính vụ đánh bạc r88 ra phường gấp,0
Cuộc gọi tự xưng Viettel báo trúng giải nhất quay số nộp 5 triệu thuế,13
t book grab đi sân bay 5h sáng m đi chung khum,22
Cháu ơi bà ngoại đây bà bị té chảy máu chuyển 5 triệu viện phí,7
Fanpage giả mạo tổ chức từ thiện kêu gọi chuyển khoản vào số tài khoản admin,10
Cảnh sát yêu cầu xác thực VNeID online gọi video share màn hình,1
Ê nhóm mình họp đồ án tối nay 9h zoom nha,22
m ơi coi chừng tin nhắn trúng thưởng giả đừng bấm link nha,22
Mình book vé máy bay đi Phú Quốc tháng sau nha,22
Cán bộ ép cài app vneid giả đòi share màn hình dính scam,1
thùng hàng từ bển gửi về bị bắt tại sân bay nộp 7 củ thuế,17
Mẹ đây con ơi mẹ bị giật túi xách mất hết tiền chuyển mẹ 3 triệu,7
bh gọi bảo trợ cấp covid nộp 300k phí hồ sơ nhận 10 tr,1
ê t kể m nghe hồi sáng có đứa gọi giả công an lừa t,22
Bưu cục gọi gói hàng từ Hàn Quốc phát hiện chất cấm lên đồn,17
Em cán bộ BHXH huyện nè bác có quyền lợi thai sản chưa nhận đóng phí giải ngân,1
Thiếu tá Nguyễn Hùng bộ CA đây anh bị điều tra tội chiếm đoạt tài sản,0
cán bộ thuế gọi app DVC bị lỗi bắt tải file exe lạ cài,1
Deepfake giọng nói con trai gọi mẹ báo bị bắt cóc chuyển tiền chuộc,7
Thẻ Mastercard bị trừ tiền mua game online đọc OTP 6 số để refund,16
Bên đối tác xác nhận hợp đồng ký tuần sau nha sếp,22
Chế ơi em ship lazada đơn chế trả tiền mặt ck 350k vô momo,17
Video call mặt người quen nhưng môi không khớp tiếng xin chuyển tiền mổ gấp,7
spin wheel trúng tủ lạnh gọi hotline đóng thuế nhận giải,13
t quay trúng macbook pro trên lazada ck 5 củ ship lụm,13
Sếp ơi em gửi báo cáo tháng 3 rồi check mail nha,22
cày like tiktok thả tim 50k mỗi video tải app nạp 2M làm agent,12
Con mèo nhà mình bị ốm đưa đi bác sĩ thú y chiều nay,22
t rút bhxh 1 lần mà ủy ban kêu nạp 2 củ phí r ms trả,1
HDBank thông báo nâng cấp hệ thống bấm link xác thực lại tài khoản,16
Chùa quyên góp xây tượng Phật chuyển tiền vào số MoMo cá nhân sư thầy,10
Sacombank gọi nè thẻ tín dụng bị trừ 10 triệu đọc OTP khóa thẻ,16
Chương trình bốc thăm trúng thưởng xe SH nộp tiền cọc nhận xe tại đại lý,13
hải 9 bắt đơn giày nike gửi về nộp 2 chẹo thuế vô stk,17
Mợ gọi hỏi bé Bông có đi học không mợ đón giúp,22
Bạn ơi mình mới chuyển công ty mới lương khá hơn,22
ê BHXH gọi nè bảo m có 8 tr trợ cấp nạp 1 xị fee nhận,1
Ba mẹ lên SG thăm con thứ 7 nè dọn phòng đi,22
Mẹ gửi tiền con ăn tháng nè check momo nha,22
Cơ quan bảo hiểm yêu cầu chuyển 3 triệu xác minh số sổ BHXH,1
zalopay báo tk bị hack ck 1 tr vô tk an toàn nè,16
Anh ơi em mua thuốc ba rồi tối ghé đưa nha,22
Tổng đài Viettel xin nghe quý khách cần hỗ trợ gì ạ,22
Hội Chữ thập đỏ quyên góp cho trẻ em vùng cao vào số tài khoản này,10
ê mb bank bảo tk m bị hack gửi mã 6 số t khoá dùm,16
ví momo m bị bay màu r đọc mã 6 số t cứu cho,16
dcm kẹt xe 2 tiếng r m ơi tao tới trễ 30p nha,22
Cô giáo đây bé nhà chị bị ngã cầu thang chuyển viện phí gấp,7
Anh hai ơi cuối tuần đưa ba mẹ đi khám bệnh nha,22
t nè gọi vid cho m coi mặt nè bị gãy chân ck 3 củ grab,7
tối ni đi karaoke khum team mình 8 đứa book phòng vip,22
Trung tâm BHXH quận gọi yêu cầu cài app VssID mới qua link này,1
ê t trúng voucher du lịch maldives ck 10 tr booking fee,13
Truy cập link dvc.gov.vn.apk cài đặt VNeID mới nhất bản cập nhật bắt buộc,1
VPBank gọi báo thẻ anh bị clone cần đọc OTP để vô hiệu hóa,16
thằng a t bị chém toe máu ck 5 cu vào viện gấp ét ô ét,7
Ê tao trả mày 200k hôm trước mượn nè check momo,22
1 phat trúng ip 15 r chời ơi click link nhận dclm,13
hôm qua CA phường tới nhà hỏi về vụ trộm xe ngoài hẻm,22
Tao mới nuôi chó corgi dễ thương lắm qua coi không,22
Dạ anh chuyển em file thiết kế bản mới nhất với,22
ê bh xã hội bảo t có trợ cấp 10 chẹo nạp phí 1 củ nhận,1
TikTok thông báo trúng giải sáng tạo 20 triệu nộp phí xử lý hồ sơ,13
cơ quan b.h.x.h bảo quyền lợi thai sản chị đóng phí giải ngân,1
acc smartbanking bidv bị khoá bấm link t gửi mở lại nha,16
ê grab giờ tăng giá vãi t chạy xe máy qua đón m,22
bhyt hết hạn rùi bấm link t gửi đóng 8 trăm gia hạn,1
Tổng đài 1900xxxx gọi tự xưng MB Bank yêu cầu đọc số thẻ và OTP,16
Ê có vé concert Sơn Tùng không bán tao 1 cặp,22
Zalo nhận lì xì 50 triệu từ quỹ nhà hảo tâm nạp 2 triệu phí hồ sơ,13
