text,label
công an,0
cảnh sát,0
hình sự,0
tòa án,0
viện kiểm sát,0
lệnh bắt,0
khởi tố,0
tạm giam,0
xét xử,0
luật sư,0
nghi can,0
bị cáo,0
tội phạm,0
truy nã,0
chuyên án,0
ma túy,0
buôn lậu,0
rửa tiền,0
điều tra,0
lấy lời khai,0
tống đạt,0
án hình sự,0
cáo trạng,0
dân sự,0
khám xét,0
phong tỏa,0
tài sản,0
chứng cứ,0
biên bản,0
phạt tù,0
tống giam,0
thẩm phán,0
kiểm sát viên,0
cảnh vệ,0
trinh sát,0
trại giam,0
dân phòng,0
công lý,0
quy án,0
tội danh,0
trộm cắp,0
cướp giật,0
án tử,0
chung thân,0
pháp y,0
pháp luật,0
hiến pháp,0
bộ luật,0
dân luật,0
tố tụng,0
kháng cáo,0
phúc thẩm,0
sơ thẩm,0
kháng nghị,0
bãi nại,0
đình chỉ,0
hoãn thi hành,0
tha bổng,0
án treo,0
đặc xá,0
cải tạo,0
quản chế,0
cách ly,0
tước quyền,0
tước bằng,0
tống xuất,0
thuế,1
cục thuế,1
chi cục thuế,1
thuế thu nhập,1
thuế môn bài,1
mã số thuế,1
đóng thuế,1
dịch vụ công,1
cổng dịch vụ,1
định danh,1
mức hai,1
căn cước,1
cccd,1
gắn chip,1
sinh trắc,1
vân tay,1
khuôn mặt,1
ủy ban,1
phường xã,1
cán bộ,1
bảo hiểm,1
trợ cấp,1
vneid,1
sổ đỏ,1
giấy phép,1
phạt nguội,1
nộp phạt,1
biên lai,1
quyết toán,1
quỹ vắc xin,1
biển số,1
đăng kiểm,1
đăng ký,1
khai báo,1
hộ khẩu,1
thị thực,1
công chứng,1
sao y,1
bản chính,1
thủ tục,1
hồ sơ,1
hành chính,1
quản lý,1
nhà nước,1
chính quyền,1
địa phương,1
khu phố,1
tổ trưởng,1
cấp phép,1
bãi bỏ,1
lệ phí,1
trước bạ,1
thuế đất,1
thuế vat,1
khấu trừ,1
miễn thuế,1
hoàn thuế,1
trốn thuế,1
nợ thuế,1
truy thu,1
hóa đơn,1
chứng từ,1
biên nhận,1
giấy khai sinh,1
giấy chứng nhận,1
chứng thực,1
niêm phong,1
nhà mạng,2
viễn thông,2
tổng đài,2
chăm sóc,2
khách hàng,2
số điện thoại,2
thuê bao,2
sim,2
khóa sim,2
thu hồi,2
chặn số,2
tin rác,2
gọi rác,2
chính chủ,2
chuẩn hóa,2
cước phí,2
nợ cước,2
cước quốc tế,2
chuyển mạng,2
giữ số,2
sim rác,2
khuyến mãi,2
gói cước,2
data,2
băng thông,2
hạ tầng,2
trạm phát,2
sóng yếu,2
mất sóng,2
trả trước,2
trả sau,2
hợp đồng,2
khôi phục,2
cú pháp,2
mạng lưới,2
đường truyền,2
tốc độ,2
viettel,2
vinaphone,2
mobifone,2
thẻ cào,2
mã pin,2
mã puk,2
roaming,2
chuyển vùng,2
tin nhắn,2
sms,2
mms,2
cuộc gọi,2
cước gọi,2
báo hỏng,2
sự cố,2
cáp quang,2
internet,2
bộ định tuyến,2
modem,2
wifi,2
wlan,2
dcom,2
cước tháng,2
lưu lượng,2
dung lượng,2
nạp tiền,2
nạp cọc,2
nạp thẻ,2
mạng xã hội,3
facebook,3
zalo,3
mật khẩu,3
bị hack,3
khôi phục,3
mã xác nhận,3
otp,3
xác thực,3
đăng nhập,3
đăng xuất,3
đường link lạ,3
bảo mật,3
gián điệp,3
rò rỉ,3
thiết bị lạ,3
vô hiệu hóa,3
tiêu chuẩn,3
cấm ngôn,3
vi phạm,3
mạo danh,3
nick ảo,3
clone,3
hỗ trợ,3
hotline,3
tin nhắn,3
teamviewer,3
anydesk,3
truy cập,3
đồng bộ,3
sao lưu,3
icloud,3
mã độc,3
virus,3
cảnh báo,3
khóa mõm,3
chặn nhắn tin,3
fanpage,3
báo cáo,3
report,3
bản quyền,3
kháng nghị,3
dính gậy,3
tài khoản,3
cấp quyền,3
ủy quyền,3
email,3
gmail,3
hộp thư,3
tệp đính kèm,3
tải về,3
cài đặt,3
nâng cấp,3
phần mềm,3
ứng dụng,3
app lạ,3
apk,3
trojan,3
worm,3
đánh cắp,3
tống tiền mạng,3
chuộc nick,3
mở khóa,3
bẻ khóa,3
hack nick,3
bệnh viện,4
phòng khám,4
bác sĩ,4
y tá,4
cấp cứu,4
giáo viên,4
tai nạn,4
chấn thương,4
viện phí,4
chuyển khoản,4
tạm ứng,4
tiền cọc,4
thuốc,4
đặc trị,4
nhóm máu,4
bệnh nhân,4
người nhà,4
viện trưởng,4
hồi sức,4
xe cứu thương,4
sơ cứu,4
mất máu,4
hôn mê,4
khẩn cấp,4
chữ ký,4
bảo hiểm y,4
phòng mổ,4
can thiệp,4
phẫu thuật,4
đa khoa,4
nội khoa,4
ngoại khoa,4
chuyên khoa,4
xét nghiệm,4
siêu âm,4
xquang,4
nhập viện,4
xuất viện,4
chuyển viện,4
truyền máu,4
nguy kịch,4
tim mạch,4
huyết áp,4
tai biến,4
đột quỵ,4
chấn thương sọ,4
gãy xương,4
băng bó,4
chỉ định,4
đơn thuốc,4
toa thuốc,4
y lệnh,4
chẩn đoán,4
hội chẩn,4
di chứng,4
tàn phế,4
tử vong,4
giấy báo tử,4
nhà xác,4
nhà đại thể,4
tẩm liệm,4
xe rồng,4
cáng cứu thương,4
ống thở,4
máy chạy tim,4
bắt cóc,5
tống tiền,5
tính mạng,5
tiền chuộc,5
giết,5
chặt tay,5
tiếng khóc,5
giam giữ,5
giang hồ,5
xã hội đen,5
theo dõi,5
mạng sống,5
con tin,5
cảnh cáo,5
mất tích,5
dọa nạt,5
đe dọa,5
sát thủ,5
đâm chém,5
uy hiếp,5
khống chế,5
bạo lực,5
vũ lực,5
đánh đập,5
tra tấn,5
hành hạ,5
tàn sát,5
trả thù,5
nợ máu,5
kẹo đồng,5
xử bắn,5
hăm dọa,5
cưỡng đoạt,5
tước đoạt,5
chiếm đoạt,5
cướp bóc,5
bạo hành,5
ép buộc,5
bắt ép,5
thủ tiêu,5
giấu xác,5
chôn sống,5
ném sông,5
đòi tiền,5
đòi mạng,5
không tha,5
đền mạng,5
trả giá,5
hối hận,5
van xin,5
quỳ lạy,5
tha mạng,5
cút đi,5
tránh xa,5
đụng chạm,5
hậu quả,5
thảm khốc,5
đẫm máu,5
truy sát,5
săn lùng,5
lệnh truy,5
chém mướn,5
đánh thuê,5
cạy cửa,5
đột nhập,5
giám đốc,6
sếp,6
kế toán,6
thanh toán,6
đối tác,6
quỹ công ty,6
nội bộ,6
tiếp khách,6
ngoại giao,6
cọc,6
ký duyệt,6
báo cáo,6
tiền lương,6
xuất kho,6
nợ,6
hóa đơn,6
chứng từ,6
lệnh chi,6
ủy nhiệm,6
ngân sách,6
tài vụ,6
thủ quỹ,6
thu ngân,6
cổ đông,6
vốn,6
cổ phần,6
lợi tức,6
doang thu,6
chi phí,6
phát sinh,6
tạm chi,6
hoàn ứng,6
lót tay,6
hoa hồng,6
chiết khấu,6
dự án,6
thầu,6
thầu phụ,6
đấu thầu,6
trúng thầu,6
giao dịch,6
khẩn cấp,6
tiếp thị,6
pr,6
marketing,6
giải ngân,6
rút vốn,6
cấp vốn,6
vay vốn,6
tín dụng,6
