text,label
chúng tôi là cơ quan cảnh sát điều tra,0
yêu cầu anh hợp tác điều tra vụ án,0
có lệnh bắt tạm giam tài khoản của anh,0
anh lên phòng hình sự làm việc,0
chúng tôi gửi giấy triệu tập,0
anh có liên quan đường dây ma túy,0
mời anh lên phường để làm rõ,0
cơ quan điều tra đối chiếu tài khoản,0
chúng tôi phong tỏa tài khoản ngân hàng,0
yêu cầu cung cấp thông tin cá nhân,0
anh đã vi phạm pháp luật nghiêm trọng,0
viện kiểm sát nhân dân vừa ra quyết định,0
đối tượng đang bị truy nã toàn quốc,0
đề nghị không rời khỏi nơi cư trú,0
chúng tôi sẽ cưỡng chế thi hành án,0
hồ sơ vụ án được chuyển lên tòa,0
phát hiện anh có hành vi rửa tiền,0
cảnh sát giao thông yêu cầu dừng xe,0
có biên bản nộp phạt nguội gửi về,0
yêu cầu xuất trình giấy tờ tùy thân,0
anh cản trở người thi hành công vụ,0
cơ quan chức năng sẽ vào cuộc ngay,0
bộ công an đang thụ lý vụ án này,0
chứng cứ phạm tội đã rõ ràng,0
đội điều tra tội phạm công nghệ cao,0
đại diện viện kiểm sát lấy lời khai,0
tòa án nhân dân chuẩn bị xét xử,0
quyết định khởi tố bị can phê duyệt,0
chúng tôi nhận được đơn tố cáo anh,0
anh thuộc diện nghi can số một,0
hành vi lừa đảo chiếm đoạt tài sản,0
án phạt tù từ ba đến năm năm,0
đề nghị anh thành khẩn khai báo,0
cấm đi khỏi nơi cư trú hiện tại,0
chúng tôi là công an thành phố,0
chi cục thuế thông báo nợ tiền thuế,1
hoàn tất đóng thuế thu nhập cá nhân,1
chưa nộp phạt vi phạm hành chính,1
nâng cấp định danh điện tử mức hai,1
căn cước công dân lỗi dữ liệu,1
cập nhật thông tin dịch vụ công,1
thông báo thay đổi sổ hộ khẩu,1
yêu cầu nộp tiền thuế đất năm nay,1
vui lòng đến ủy ban báo cáo,1
chứng minh thư của bạn hết hạn,1
mã số thuế công ty gặp vấn đề,1
