text,label
"Hệ thống cổng dịch vụ công đang bảo trì, mẹ chờ chiều tối cập nhật lại khuôn mặt sau nha",22
"Tội nghiệp con vàng nhà dì Bảy, mới nhảy ra đường bị tông tai nạn gãy chân luôn.",22
"Đoàn thanh niên phường mình tổ chức nấu cháo từ thiện tại bệnh viện nhi đồng đó, m tham gia không?",22
Chút nữa mẹ tải app mb bank về xong ra quầy định danh r lấy mã otp cài vô máy nhé,22
"Đơn giản lắm, công việc của m chỉ là trực page fb trả lời khách, lương cứng 6 triệu cộng hoa hồng doanh số",22
"Bà nội mới xuất viện hồi sáng, tiền viện phí ca mổ thay khớp gối hết tổng cộng 25 triệu.",22
"Sáng xem bản tin VTV thấy bảo dạo này nhiều vụ giả danh công an gọi điện bắt đóng phạt nguội lắm, mẹ cẩn thận nha",22
"Bà nội mới xuất viện hồi sáng, tiền viện phí ca mổ thay khớp gối hết tổng cộng 25 triệu.",22
"Hệ thống cổng dịch vụ công đang bảo trì, sếp chờ chiều tối cập nhật lại khuôn mặt sau nhé",22
"Lương tháng này công ty vừa ck banking qua mb bank r đó, bà hàng xóm check xem ting ting chưa",22
T đi Grab nãy tài xế kêu thanh toán tiền mặt mà không mang theo nên bảo tài xế gửi mã QR t quét Momo.,22
"Sáng xem bản tin VTV thấy bảo dạo này nhiều vụ giả danh công an gọi điện bắt đóng phạt nguội lắm, trưởng thôn cẩn thận nha",22
App Vietcombank tự nhiên báo lỗi giao dịch không thành công mà tiền trong thẻ vẫn bị trừ 50k.,22
"Hệ thống cổng dịch vụ công đang bảo trì, vợ chờ chiều tối cập nhật lại khuôn mặt sau nha",22
"Đọc báo thấy vụ tai nạn liên hoàn trên cao tốc sợ quá, ba đi đường cẩn thận nhé",22
Chút nữa ba tải app mb bank về xong ra quầy định danh rồi lấy mã otp cài vô máy nha,22
"Hôm rày đi đá banh t bị tai nạn gãy chân đang nằm viện nè, chủ nhật bản tin thời sự rảnh vào thăm t nha",22
"Hệ thống cổng dịch vụ công đang bảo trì, bản tin thời sự chờ chiều tối cập nhật lại khuôn mặt sau nha",22
"Lương tháng này công ty vừa ck banking qua mb bank r đó, công ty check xem ting ting chưa",22
