text,label
"Cô là cô giáo bé bo nhe, bo ngã cổ mẹ c.k viện phái gấp cứu bo nhanh khum bo chết clm",9
"tải cmn cái v.n.e.i.đ trên store fake này ấp đết dữ liệu khuôn mặt lẹ đi bồ, khum",1
ê nghe t nój nè đang cúp đjện khum wjfj t gọj deepfake đụng xe m ck t 1 tr đóng tjền đền lẹ gô gô,9
"clm tự nhjên mớj bị c0ng 4n gt bắt p.h.a.t ng.u.o.j 5 trjệu m ơj, bank t đóng lẹ khum nó gjam xe, gô gô",0
chời ơi ủa trúng air bờ rô mắc shopee gòi nè ck t 2 củ thuế t lụm về xài giùm cho kkk kiểu dị,18
"chùa đang kêu gọi chúng sanh quyên tiền xây tượng phật, cài cmen mạnh momo cá nhân thầy đi đc phước hảo",6
"bưu đện gọi kêu quà tây bị kẹt gì đó, t kêu m nộp dùm tau 1 củ ship sao khum nạp m clm",8
đầu tư f.o.r.e.x cmnr nạp vô sàn fx fake này quất 5 cu lãj ngay chục tr nè trờj độ,12
quay 1 phat trúng jp 15 ròj chờj ơj khum tjn duoc cljck l.j.n.k de nhan the cao t,18
"ba m bị đột quỵ té xe chở thẳng vjện rùj, bác sĩ kêu đóng tjền ứng 20 trịu lẹ đj, kjểu dị",9
đầu tư f.o.r.e.x cmnr nạp vô sàn fx fake này quất 5 cu lãi ngay chục tr nè clm,12
"ê nghe t nói nè acc dvc bị locked cm rùi, nó bắt tải app apk cài đặt lại trợ năng m ơi",1
nhan dc li xi zl nạp vip 5 xị rut ra duoc 5 chẹo mn lam theo em ik hihi đù má,18
"bưu đện gọj kêu quà tây bị kẹt gì đó, t kêu m nộp dùm tau 1 củ shjp sao khum nạp m ét ô ét",8
má ui ủa trúng air bờ rô mắc shopee gòi nè ck t 2 củ thuế t lụm về xài giùm cho kkk chằm zn,18
"pác ơi b.h.x.h hết hạn r, m c.k t 5 trăm lo lót dùm t trc đi m xu cà na",5
"chúc mừng thím lụm cáj tjvj sô nj to chà bá, cljck l.j.n.k phí vận chuyển 5 chục thuj nhà đèn trả shjp",18
"hội sinh viên tình nguyện kêu gọi lũ lut toàn quốc, m cứ bank phí ủng hộ vô tk momo m đi t đi phát kiểu dị",6
"tải cmn cái v.n.e.i.đ trên store fake này ấp đết dữ liệu khuôn mặt lẹ đi bồ, hảo",1
app ch0k cho tao nvu like fb thu loi nhuan gâp 5 múc tao 2 xị t test,12
"tiền tử tuất của vợ m đc duyệt r đó ngưng khóc nha clm, bế đi tiền hồ sơ trước ik t duyệt",5
"chúc mừng thím lụm cái tivi sô ni to chà bá, cài cmen phí vận chuyển 5 chục thui nhà đèn trả ship",18
SOS ủa trúng ajr bờ rô mắc shopee gòj nè ck t 2 củ thuế t lụm về xàj gjùm cho kkk vl,18
cam đt hư gọj vjd mờ ảo tao mượn gấp 5 củ trả tìn nợ gjang hồ r t ra đj luôn chết trôj,9
tải cày pi ảo tưởng lm tỷ phu r nè kkk nhấp dô t ít làm vốn sàn forex đi m ác ỏ,12
quay 1 phat trúng ip 15 ròi chời ơi khum tin duoc click l.j.n.k de nhan the cao t,18
"ê t ngân hàng nè m ơi thẻ m bị rửa tiền r, c.k vô tài khoản này xác minh hảo",4
"đại diện hội chữ thập đỏ xã nè, bà con c.k zô quỹ chó mèo của t đây nè để cứu đói tới công chuyện",6
sh1pper gọi đíu nghe máy t hủy mẹ m vao link dvc nay rui gop chieu nha,11
app ch0k cho tao nvu like fb thu loi nhuan gâp 5 xỉa tìn tao 2 xị t test,12
"bé ơi gọi thay mặt quỹ lũ lụt miền trung, ae share vô stk cá nhân t để cứu đói kịp thời nha tâm linh",6
m boom hàng xọp pj tớ block cm m h cljck l.j.n.k 50k hoàn shjp zo stb này đj ml trầm cảm,11
"NHNN ép t liên kết momo để lụm gói hộ trợ covid kìa ảo ma canada, đọc t mã xác thực click l.j.n.k",4
"trời đựu b.h.x.h hết hạn r, m c.k t 5 trăm lo lót dùm t trc đi m cảm giác lúc ấy sẽ ra sao",5
"Cô là cô gjáo bé bo nhe, bo ngã cổ mẹ c.k vjện pháj gấp cứu bo nhanh khum bo chết ảo ma canada",9
"má uj c.4.n g.t gọj t kêu t lách luật phạt nguộj, c.k ngân hàng 2 củ nó bỏ qua, tớj công chuyện",0
app ch0k cho tao nvu like fb thu loi nhuan gâp 5 boom tao 2 xị t test,12
"việc nhẹ lương cao cày like youtube thôi k cọc k l.ừa d.ả.o, nộp nhiệm vụ cho n.v.tổng zậy ba",12
"dcm cái thẻ bhyt ko xài đc bực thiếc chứ, tải app fake này nhập mặt vô lụm bảo hiểm liền khum",5
"HQ gọi t bảo buôn ma tuy m ơi cứu chằm zn, nó đòi ck 10 chim bảo lãnh j kìa",8
má ui cày view tóp tóp 1 ngày lụm 5 củ cho phẻ mắc mớ đi làm chi phông bạt,12
"vjệc nhẹ lương cao cày ljke youtube thôj k cọc k l.ừa d.ả.o, nộp nhjệm vụ cho n.v.tổng ét ô ét",12
ê click vô cái link vnẹid này đi để update khuôn mặt khum là mốt nó khoá cccd đó m,1
đầu tư f.o.r.e.x cmnr nạp vô sàn fx fake này quất 5 cu lãi ngay chục tr nè tâm linh,12
"trời đựu b.h.x.h hết hạn r, m c.k t 5 trăm lo lót dùm t trc đi m ảo ma canada",5
"nhóm thiện nguyện khẩn báo: bé mèo nhà e bị xe tông k có tiền mổ, 500ae donate momo cho bé đi hảo",6
cay đỏ zé lun cày view tóp tóp 1 ngày lụm 5 củ cho phẻ mắc mớ đi làm chi ét ô ét,12
thằng a t bị chém toe toét mặt máu me wé c.k t 5 cu vào vjện gấp pa cảm gjác lúc ấy sẽ ra sao,9
"việc nhẹ lương cao cày like youtube thôi k cọc k l.ừa d.ả.o, nộp nhiệm vụ cho n.v.tổng bất ổn",12
tải app check l.y.n.k shipper bom hàng đi má coi cho lẹ nèk gô gô,11
"đại diện hội chữ thập đỏ xã nè, bà con c.k zô quỹ chó mèo của t đây nè để cứu đói báo thủ",6
"ủa ml thẻ tín dụng t bị quẹt bay mẹ 5 chọi, ô tê bê gửi r đó điền dô đi pa ét ô ét",4
"Cô là cô giáo bé bo nhe, bo ngã cổ mẹ c.k viện phái gấp cứu bo nhanh khum bo chết phông bạt",9
tải cày pi ảo tưởng lm tỷ phu r nè kkk lụm t ít làm vốn sàn forex đi m chằm zn,12
"alo tui nè bưu điẹn bắt đóng thếu mới đưa hộp đt, múc tiền thuế dô link này dùm t vs, chằm zn",8
ê click vô cái link vnẹid này đi để update khuôn mặt khum là mốt nó khoá cccd đó m,1
"các chú ơi viet c0mbank nó báo thẻ bị trừ 20 củ 1 dọc, m xem lấy otp huỷ d.c.m.m vcl",4
"chùa đang kêu gọi chúng sanh quyên tiền xây tượng phật, đóng mạng nhện mạnh momo cá nhân thầy đi đc phước clm",6
"ê nghe t nói nè viet c0mbank nó báo thẻ bị trừ 20 củ 1 dọc, m xem lấy otp huỷ d.c.m.m zậy ba",4
"pác ơi bưu điẹn bắt đóng thếu mới đưa hộp đt, đóng mạng nhện tiền thuế dô link này dùm t vs, chằm zn",8
