text,label
chúng tôi là cơ quan cảnh sát điều tra bộ công an đang thụ lý vụ án rửa tiền xuyên quốc gia có liên quan trực tiếp đến số chứng minh nhân dân của anh,0
yêu cầu anh chị ngay lập tức cung cấp toàn bộ thông tin đăng nhập tài khoản ngân hàng để chúng tôi tiến hành niêm phong phục vụ công tác điều tra,0
đồng chí đã bị khởi tố trong một đường dây buôn bán ma túy trái phép ở khu vực biên giới và hiện đang có lệnh bắt giam khẩn cấp từ tòa án nhân dân tối cao,0
nếu bạn không nhanh chóng chuyển số tiền bảo lãnh vào tài khoản do cơ quan chức năng chỉ định thì chúng tôi sẽ tiến hành cưỡng chế và phong tỏa toàn bộ tài sản,0
tôi là điều tra viên phụ trách chuyên án tội phạm công nghệ cao yêu cầu anh giữ máy và cung cấp mã xác thực vừa gửi đến số điện thoại cá nhân,0
chúng tôi đã phát hiện một kiện hàng có chứa chất độc hại đang được gửi từ nước ngoài về mang tên và số điện thoại của bạn nên phải tiến hành kiểm tra đột xuất,0
cơ quan điều tra vừa ban hành lệnh truy nã đặc biệt đối với anh vì đã cấu kết với tội phạm chiếm đoạt hàng chục tỷ đồng của nhà nước,0
vui lòng đến ngay trụ sở công an phường để làm việc vì hệ thống ghi nhận bạn đã đứng tên thuê bao mạng di động phát tán tin nhắn chống phá nhà nước,0
viện kiểm sát nhân dân cấp cao đã phê chuẩn lệnh tạm giam ba tháng để điều tra hành vi buôn lậu trốn thuế của doanh nghiệp do anh đứng tên đại diện,0
anh đã bị camera giao thông ghi hình vi phạm nồng độ cồn vượt mức cho phép và lạng lách đánh võng đe dọa người đi đường nên phải nộp phạt nguội ngay lập tức,0
bạn đang là nghi phạm chính trong vụ án tai nạn giao thông nghiêm trọng gây chết người rồi bỏ trốn khỏi hiện trường yêu cầu cung cấp ngay địa chỉ đang lẩn trốn,0
hãy bấm phím chín để nghe tòa án nhân dân giải quyết vụ kiện tụng tranh chấp đất đai có liên quan đến giấy chứng nhận quyền sử dụng đất của gia đình bạn,0
hồ sơ vay vốn tín chấp của chị tại ngân hàng nhà nước đã bị khởi kiện ra tòa dân sự do trốn tránh trách nhiệm trả nợ quá hạn nhiều năm liền,0
đây là cuộc gọi thông báo lệnh cấm xuất cảnh đối với công dân mang số căn cước của chị do liên can đến đường dây mua bán trẻ em qua biên giới,0
yêu cầu anh không được tắt máy và làm theo đúng hướng dẫn của cán bộ công an để tự chứng minh sự trong sạch của bản thân trước pháp luật,0
hệ thống định danh điện tử quốc gia ghi nhận căn cước công dân của bạn chưa được đồng bộ mức độ hai nên yêu cầu bấm vào đường link để cập nhật ngay,0
cục cảnh sát quản lý hành chính về trật tự xã hội đôn đốc anh chị khẩn trương thực hiện thủ tục lăn tay chụp ảnh để đổi sang thẻ căn cước có gắn mã phản hồi nhanh,1
chi cục thuế thông báo mã số thuế cá nhân của doanh nghiệp anh chị đang bị tạm khóa do nghi ngờ có các giao dịch chuyển tiền bất thường trốn nghĩa vụ đóng thuế,1
bạn phải đóng ngay khoản tiền phạt hành chính vào số tài khoản kho bạc nhà nước để chúng tôi cấp giấy phép thông hành tiếp tục hoạt động kinh doanh,1
dịch vụ công trực tuyến cảnh báo hệ thống của bạn đã bị lỗi khi khai báo hồ sơ hải quan nên phải nộp tiền bảo lãnh khắc phục sự cố nghiêm trọng này,1
yêu cầu cá nhân hoặc tổ chức nhấp vào liên kết đính kèm để xem chi tiết thông báo truy thu tiền thuế môn bài và thuế thu nhập doanh nghiệp trong tháng qua,1
nếu không tiến hành nộp phạt vi phạm trật tự đô thị thì chúng tôi sẽ hủy bỏ toàn bộ hồ sơ xin cấp sổ hồng quyền sử dụng đất của gia đình bạn,1
để xác thực danh tính hồ sơ vay vốn thì khách hàng vui lòng cung cấp mã bảo mật và cung cấp ảnh chụp hai mặt chứng minh thư nhân dân gửi cho chúng tôi,1
hiện tại cổng dịch vụ công đang bị quá tải nên anh chị có thể chuyển khoản phí cấp giấy phép kinh doanh vào tài khoản cá nhân của cán bộ phụ trách,1
ủy ban nhân dân cấp phường xã thông báo yêu cầu toàn bộ người dân đóng góp ngay tiền quỹ mua vắc xin phòng chống dịch bệnh qua ví điện tử,1
tổng đài hỗ trợ hành chính công xin nhắc nhở hồ sơ làm giấy khai sinh của con bạn đã bị thất lạc yêu cầu nộp thêm lệ phí làm lại bản sao kê,1
