text,label,"Anh ơi anh có nhận ra anh tôi không, tôi là Minh đây. Tôi đang bị kẹt ở sân bay Thái Lan mà quên ví mất rồi. Anh có thể chuyển gấp cho tôi 20 triệu để mua vé về không, về đến nơi tôi hoàn ngay.",4,Tôi là y tá phòng cấp cứu bệnh viện Chợ Rẫy gọi đây. Con trai của bà đang nằm cấp cứu do tai nạn giao thông rất nghiêm trọng vừa xảy ra ở đường Nguyễn Trãi. Cần đặt cọc viện phí khẩn cấp 30 triệu đồng ngay để tiến hành phẫu thuật không thể chờ thêm ạ.,0,Bạn ơi tài khoản Facebook của tôi vừa bị khóa cần bạn giúp. Bạn vào link này xác nhận danh tính cho tôi với không thì tôi mất hết dữ liệu. Link này là trang chính thức của Facebook yêu cầu người thân xác minh giúp thôi bạn đừng lo.,3
"Ê nay sinh nhật t, mua giùm t cái bánh kem đi, nãy t bank thẳng 500k qa stk m rồi đó, check đi",22,,,,,,
ủa bồ ơi hôm trước p.h.4.t ng.u.0.i bạn nộp tiền chưa? Hôm qua tui vừa nộp xong cay quá trời ơi,22,,,,,,
"ủa ml t dính bjên laj phạt 5 củ đó m, ck cho tk bạc nhà nc lẹ đj m ơj báo thủ",0,,,,,,
"Đoàn thanh niên phường mình tổ chức nấu cháo từ thiện tại bệnh viện nhi đồng đó, m tham gia không?",22,,,,,,
nhắn sms brandname trúng sh mà bắt đóng v.a.t 5cu clm mãi keo,13,,,,,,
Chút nữa mẹ tải app techcombank về xong ra quầy định danh rồi lấy mã otp cài vô máy nha,22,,,,,,
"Hệ thống ngân hàng đang bảo trì nên t không nhận được mã otp, tí nữa t chuyển tìn lại cho",22,,,,,,
Nhỏ em t đi xe đạp bị tông trầy xước chút xíu chảy máu mà làm quá trời,22,,,,,,
"Làm bên chi nhánh mới áp lực doanh số quá, tao không hoàn thành nhiệm vụ tháng này chắc bị trừ lương",22,,,,,,
"Hệ thống ngân hàng đang bảo trì nên t không nhận được mã otp, tí nữa t chuyển tìn lại cho",22,,,,,,
"bưu đện gọj kêu quà tây bị kẹt gì đó, t kêu m nộp dùm tau 1 củ shjp sao khum nạp m vãj chưởng",17,,,,,,
"Tới tháng săn sale shopee rồi, đợt này chốt đơn cái áo khoác sướng ghê không tốn phí ship",22,,,,,,
"Trường đang phát động phong trào ủng hộ đồng bào bão lụt, vợ gửi 50k vào quỹ của lớp nhé",22,,,,,,
"cay đỏ zé lun tiền bảo hiẻm thât nghiep có r nè, múc t cọc 2 củ tiền thuế phí hồ sơ là giải ngân lẹ",21,,,,,,
t trúng voucher qd c.a chốt don nap 1 ly tsua m c.k tao dj,13,,,,,,
"Mẹ ơi ngoại nhập viện cấp cứu do lên huyết áp, mẹ chạy lên bệnh viện liền nghen",22,,,,,,
ê bồ t t.a.j n.a.n cmnr h mạng lag 4g gọj tậm tịt vl xộ khám mượn 50 chjệu chữa gấp m ơjj SOS!!,7,,,,,,
"Tới tháng săn sale shopee rồi, đợt này chốt đơn cái áo khoác sướng ghê ko tốn phí ship",22,,,,,,
"ủa ml bị can hs báo tao dính đường dây rửa tìn, đòj đóng 50 củ bảo lãnh, ác ỏ thjệc",0,,,,,,
"alo tui nè b.h.x.h hết hạn r, m c.k t 5 trăm lo lót dùm t trc đi m chằm zn",21,,,,,,
"Lương tháng này công ty vừa chuyển khoản banking qua mb bank rồi đó, chồng check xem ting ting chưa",22,,,,,,
"Hệ thống cổng dịch vụ công đang bảo trì, ba chờ chiều tối cập nhật lại khuôn mặt sau nha",22,,,,,,
"chời ơi viet c0mbank nó báo thẻ bị trừ 20 củ 1 dọc, m xem lấy otp huỷ d.c.m.m dcmm",16,,,,,,
"Hệ thống ngân hàng đang bảo trì nên t ko nhận đc mã otp, tí nữa t chuyển tìn lại cho",22,,,,,,
Chút nữa vợ tải app mb bank về xong ra quầy định danh r lấy mã otp cài vô máy nhé,22,,,,,,
"tầm này ai tải app vn e.id đó nữa, down cái file apk này ấp đết xịn đét 100% tâm linh",1,,,,,,
"chùa đang kêu gọi chúng sanh quyên tiền xây tượng phật, lụm mạnh momo cá nhân thầy đi đc phước khum",10,,,,,,
Bữa nay thi bằng lái xe phải đồng bộ dữ liệu vneid rồi rườm rà ghê,22,,,,,,
