text,label
ê ba dạo này bên còng số tám đang khui ra vụ rửa tiền chà bá dính tới cái thẻ căn cước của mày á lo mà đem tiền lên bển nộp phạt đi không là toang mẹ nó luôn,0
tau nỏ hiểu mi mần cái chi mà giấy triệu tập bắt giam đùng đùng gửi tới nhà răng mi không chịu lết xác lên phường để trình diện cho xong chuyện rứa,0
má ơi mới sáng sớm công an gọi điện hù kêu trúng đường dây buôn ma túy rẹt rẹt đòi cúp máy tao khóa tài khoản ngân hàng banh chành luôn á,0
phét lác vớ vẩn tụi giang hồ đang báo án lên viện kiểm sát gông cổ mày vô tù vì tội trốn thuế rồi kìa không ói tiền ra bôi trơn là bóc lịch vãi chưởng luôn nghen,0
cái đồ lươn lẹo tao là cán bộ điều tra đây mầy câm mồm lại và đọc liền cái mã xác thực gửi qua điện thoại nếu không tao cho mầy lên đồn uống nước chè ráo trọi,0
trời đất quỷ thần ơi tự nhiên có cái kiện hàng ma túy tổ chảng gửi từ bển về mang tên tui tụi hải quan nó dọa bắt nhốt mọt gông nếu không xì tiền bảo lãnh ra nè,0
cảnh sát giao thông nó vịn tao lại cớ báo tao vượt đèn đỏ gây tai nạn chết người ở khúc bùng binh rồi đòi phạt nguội ba chục chai gắt bá phát luôn á,0
hôm ni tòa án gửi cái trát hầu tòa chà bá lửa xuống nhà kêu tui đứng tên chủ mưu lừa đảo hàng chục tỷ tau hoảng hồn bủn rủn tay chân rứa mô,0
cái vụ tranh chấp đất đai sổ đỏ rành rành rứa mà tự dưng có tụi tự xưng là cán bộ phường xuống ép kí giấy ủy quyền không là nó cưỡng chế dỡ nhà cái một,0
chú mày dính chưởng rồi có thằng nào nó lấy chứng minh nhân dân của chú mày bùng nợ tín dụng bị ngân hàng nhà nước đâm đơn kiện sấp mặt ra tòa kìa,0
app định danh vneid của mi nỏ đồng bộ được mức hai mô hệ thống nó báo lỗi từa lưa hột dưa kích vô cái link ni mau để cập nhật không là bị khóa rẹt rẹt đó,1
cái mã số thuế doanh nghiệp tao bị chi cục thuế nó khóa đỏ lòm rồi nó bảo tao trốn thuế bá láp bá xàm đòi nộp phạt vô kho bạc nhà nước bằng tiền mặt cay vãi chưởng,1
chiều ni có thằng xưng là cán bộ hải quan nỏ cho tao thông quan lô hàng chi chi đó bắt nộp quỹ bảo chứng ba chục củ vô tài khoản cá nhân của nó dở người thật,1
tụi thuế môn bài nó nhây bà cố luôn hẹn tới hẹn lui nộp hồ sơ xin giấy phép kinh doanh nộp phế lót tay hai chục chai mà nó chưa chịu đóng mộc đỏ cho qua nữa,1
chủ tịch phường thông báo kêu gọi bà con nộp quỹ mua vắc xin gì đó mà bắt chuyển khoản qua ví điện tử của bà trưởng thôn tao thấy điêu điêu sai sai sao á,1
hôm qua đi làm lại cái sổ hồng quyền sử dụng đất mà tụi cò mồi nó hét giá bôi trơn chát chúa lòi bản họng nỏ chịu chi tiền là tụi nó ngâm hồ sơ mòn mỏi luôn chi rứa,1
tới cái phường ni xin mộc đỏ sao y bản chính mà nó hạch hạch sách sách đòi thu thêm mười mấy lít tiền phụ phí mới chịu ký xạo sự ba trợn thiệt chớ,1
thưa bà bộ phận quản lý xuất nhập cảnh báo hồ sơ visa của bà đang bị kẹt cứng ngắc phải chung chi thêm năm tờ xanh để nó vuốt trôi cho kịp chuyến bay chiều nay nha,1
tau đi quyết toán thuế thu nhập cá nhân bị hụt mất một mớ tụi cán bộ dọa tao sẽ bị thanh tra sờ gáy lôi ra tòa đánh sập tiệm nỏ biết mần răng dừ,1
vụ đồng bộ hóa dữ liệu sinh trắc học mống mắt rác rưởi quái gở mô nỏ thấy mà tự dưng bắt nạp thẻ cào điện thoại hai lít vô để làm xác thực hệ thống lừa đảo vãi,1
chết cha tao rồi cái sim chính chủ tao xài từ hồi nảo hồi nào tự dưng tổng đài nó dọa dập khóa hai chiều rẹt rẹt vì chưa chuẩn hóa thông tin cá nhân gì đó,2
ui chu choa cước điện thoại bốn gờ tháng ni của tau nó nhảy lên tới ba triệu mấy tụi viễn thông nó bóc phốt tau gọi quốc tế cháy máy răng mà oan uổng rứa trời ơi,2
thằng lợn tổng đài viên nó hót líu lo kêu nhà nỏ có mạng cáp quang nên bắt tao đóng thêm năm lốp để nâng cấp cục phát wifi không là nó cắt rụp luôn cái rụp,2
má ơi đang yên đang lành tụi nhà mạng nó nhắn tin đòi thu phí bản quyền tin nhắn sms tao gửi đi hồi xửa hồi xưa nực cười rứa không biết đồ tào lao bí đao,2
bữa ni tao trúng quả đậm từ viettel tao quay vòng quay may mắn rinh luôn con xe SH bá cháy bọ chét mà nó kêu phải nạp card năm xị để làm phí làm giấy tờ á ba,2
