text,label
"cơ quan công an",0
"cảnh sát điều tra",0
"tòa án nhân dân",0
"viện kiểm sát",0
"đường dây ma túy",0
"chuyên án rửa tiền",0
"chiếm đoạt tài sản",0
"lệnh bắt tạm giam",0
"phối hợp làm việc",0
"chứng minh vô tội",0
"cục cảnh sát hình sự",0
"bộ công an",0
"yêu cầu trình diện",0
"tiến hành khởi tố",0
"hợp tác điều tra",0
"tội phạm xuyên quốc gia",0
"buôn lậu",0
"cung cấp thông tin tài chính",0
"thực hiện lệnh bắt",0
"phòng cảnh sát kinh tế",0
"đại tá công an",0
"phòng cảnh sát hình sự",0
"chấp hành nghiêm chỉnh",0
"triệu tập khẩn cấp",0
"điều tra viên",0
"cơ quan chức năng",0
"bảo lưu tài khoản",0
"phong tỏa tài sản",0
"truy cứu trách nhiệm hình sự",0
"cấu kết tội phạm",0
"trát hầu tòa",0
"ban chuyên án",0
"đọc lệnh khám xét",0
"đối tượng truy nã",0
"nghi can số một",0
"xác minh danh tính",0
"lấy lời khai",0
"cảnh sát khu vực",0
"phục vụ điều tra",0
"chấp hành quy định",0
"bằng chứng phạm tội",0
"viết bản tường trình",0
"ký biên bản",0
"tự thú để hưởng khoan hồng",0
"cục thuế",1
"định danh điện tử",1
"dịch vụ công",1
"đồng bộ dữ liệu",1
"thuế thu nhập cá nhân",1
"tài khoản VNeID",1
"căn cước công dân gắn chíp",1
"sinh trắc học",1
"nộp phạt vi phạm",1
"hoàn thuế",1
"tổng cục thuế",1
"cơ quan dịch vụ công",1
"hệ thống định danh",1
"cán bộ phường",1
"cơ sở dữ liệu dân cư",1
"hướng dẫn cập nhật",1
"tài khoản VNeID mức hai",1
"kê khai thuế",1
"ứng dụng thuế điện tử",1
"bảo mật thông tin sinh trắc",1
"cục quản lý thuế",1
"chữ ký số",1
"khai báo y tế",1
"soát xét hồ sơ",1
"quy định nhà nước",1
"hành vi trốn thuế",1
"đại diện pháp lý",1
"ủng hộ quỹ vắc xin",1
"tạm ngừng kinh doanh",1
"thuế môn bài",1
"phiếu thu thuế",1
"quyết toán năm",1
"chi cục thuế quận",1
"phần mềm thuế",1
"mã số thuế cá nhân",1
"kích hoạt ứng dụng",1
"xác thực khuôn mặt",1
"quét chip NFC",1
"công an phường",1
"hộ khẩu thường trú",1
"xin cấp lại thẻ",1
"quét mã QR code",1
"đồng bộ hồ sơ",1
"liên kết tài khoản",1
"nhà mạng viễn thông",2
"khóa sim",2
"thu hồi số điện thoại",2
"chuẩn hóa thông tin thuê bao",2
"đăng ký chính chủ",2
"chặn liên lạc hai chiều",2
"nợ cước quốc tế",2
"phát tán tin nhắn rác",2
"chuyển đổi mạng",2
"cập nhật thuê bao",2
"trung tâm chăm sóc khách hàng",2
"bộ thông tin và truyền thông",2
"tổng đài viễn thông",2
"ngừng cung cấp dịch vụ",2
"xử lý nợ cước",2
"đăng ký chính chủ sim",2
"tin nhắn rác",2
"nhà mạng yêu cầu",2
"cập nhật thông tin ID",2
"số điện thoại rác",2
"sim rác",2
"người dùng cuối",2
"cước viễn thông",2
"yêu cầu bảo mật",2
"chấm dứt hợp đồng",2
"vi phạm quy đinh",2
"quản lý thuê bao",2
"tra cứu thông tin",2
"tổng đài tự động",2
"tạm khóa dịch vụ",2
"khóa mạng",2
"thuê bao trả sau",2
"nợ cước tháng",2
"soạn tin nhắn SMS",2
"xóa thuê bao",2
"dịch vụ khách hàng viễn thông",2
"tổng đài hỗ trợ",2
"cảnh báo cắt thuê bao",2
"cập nhật thẻ căn cước",2
"vi sóng mạng",2
"khôi phục tín hiệu",2
"chuyển vùng quốc tế",2
"đăng ký gói dữ liệu",2
"trạm phát sóng",2
"tài khoản mạng xã hội",3
"khôi phục mật khẩu",3
"mã xác nhận",3
"mã OTP",3
"đăng nhập bất thường",3
"hỗ trợ kỹ thuật",3
"khóa tài khoản",3
"vi phạm tiêu chuẩn cộng đồng",3
"ảnh đại diện giả mạo",3
"xác minh danh tính",3
"hệ thống mạng xã hội",3
"tài khoản thư điện tử",3
"trung tâm bảo mật",3
"tài khoản bị khóa",3
"tạm ngưng hoạt động",3
"bảo vệ tài khoản",3
"hành vi vi phạm",3
"hacker tấn công",3
"lấy lại quyền truy cập",3
"đánh cắp danh tính",3
"nền tảng số",3
"tin nhắn cảnh báo",3
"xác thực hai yếu tố",3
"dịch vụ khách hàng",3
"vô hiệu hóa",3
"khôi phục dữ liệu",3
"thiết bị an toàn",3
"liên kết bên thứ ba",3
"đăng xuất ngay",3
"rủi ro bảo mật",3
"tin nhắn lừa đảo",3
"giả mạo nhân viên",3
"tài khoản Zalo",3
"fanpage giả mạo",3
"chính sách người dùng",3
"cảnh báo bảo mật",3
"khôi phục trang cá nhân",3
"liên kết xác thực",3
"tin nhắn trúng thưởng giả",3
"xóa bài đăng",3
"câu view câu like",3
"chiếm quyền điều khiển",3
"rò rỉ dữ liệu cá nhân",3
"ứng dụng gián điệp",3
"bệnh viện phụ sản",4
"phòng cấp cứu",4
"tai nạn giao thông",4
"đóng viện phí gấp",4
"phẫu thuật khẩn cấp",4
"chuyển khoản viện phí",4
"chấn thương sọ não",4
"tình trạng nguy kịch",4
"bảo hiểm y tế",4
"ứng trước tiền thuốc",4
"bác sĩ chuyên khoa",4
"nhân viên y tế",4
"trung tâm y tế",4
"yêu cầu đóng viện phí",4
"chuẩn bị tiến hành phẫu thuật",4
"cần tiền gấp",4
"xử lý chấn thương",4
"đóng tiền thuốc",4
"hồ sơ bệnh án",4
"nhóm máu hiếm",4
"khám chữa bệnh",4
"toa thuốc",4
"cơ sở y tế",4
"chữ ký người nhà",4
"hội chẩn khẩn",4
"nguy hiểm tính mạng",4
"chuyển viện",4
"khoa hồi sức tích cực",4
"nộp tiền bảo lãnh",4
"vật tư y tế",4
"con đi cấp cứu",4
"giáo viên chủ nhiệm báo tin",4
"bệnh viện Chợ Rẫy",4
"bệnh viện Bạch Mai",4
"xe cứu thương",4
"cấp cứu 115",4
"mổ gấp cứu người",4
"tình trạng xuất huyết",4
"viện phí đắt đỏ",4
"tam ứng phẫu thuật",4
"báo tin thân nhân",4
"thủ tục nhập viện",4
"không qua khỏi",4
"phải mổ ngay",4
"bắt cóc trẻ em",5
"tiền chuộc",5
"đe dọa tính mạng",5
"báo công an",5
"giữ người trái phép",5
"đừng hòng thấy mặt",5
"chuyển tiền ngay",5
"camera giám sát",5
"không được lên tiếng",5
"hành vi bạo lực",5
"tổ chức tội phạm",5
"nhóm bắt cóc",5
"đối tượng xấu",5
"người giấu mặt",5
"đe dọa gia đình",5
"không được báo công an",5
"ép buộc giao tiền",5
"nếu không sẽ hối hận",5
"chuyển khoản lập tức",5
"bọn ta đang theo dõi",5
"chuẩn bị tiền mặt",5
"không được nói cho ai",5
"bảo toàn tính mạng",5
"hành tung bí mật",5
"nghe theo chỉ thị",5
"đem theo vali",5
"một mình tới chỗ hẹn",5
"công an vào cuộc là chết",5
"giao dịch mau lẹ",5
"con tem bảo kê",5
"mang tiền ra ngõ",5
"bọn tao đang giữ con mày",5
"nói nhỏ thôi",5
"khóc lóc van xin",5
"xử đẹp",5
"trả tiền đổi mạng",5
"bỏ đồ vào thùng rác",5
"làm trái lời tao",5
"giao tiếp cắt đứt",5
"đừng có giở trò",5
"báo cảnh sát là mày xong",5
"điện thoại nghe lén",5
"không thả người",5
"đừng chống cự",5
"giám đốc điều hành",6
"chuyển khoản đối tác",6
"tạm ứng quỹ",6
"giao dịch bí mật",6
"thanh toán hợp đồng",6
"chuyển tiền nội bộ",6
"kế toán trưởng",6
"tài khoản cá nhân",6
"huy động vốn",6
"thương vụ đầu tư",6
"tổng giám đốc",6
"trưởng phòng kinh doanh",6
"ban lãnh đạo công ty",6
"chỉ đạo khẩn",6
"giao nhiệm vụ",6
"quỹ ngoại giao",6
"thực hiện giao dịch",6
"thanh toán dự án",6
"báo cáo tài chính",6
"lệnh chuyển tiền",6
"tuyệt mật",6
"xác nhận email",6
"kế toán nội bộ",6
"ký duyệt ngay",6
"theo yêu cầu giám đốc",6
"khoản chi đột xuất",6
"đẩy nhanh tiến độ",6
"hợp đồng thi công",6
"vốn lưu động",6
"chuyển tiền ủy nhiệm",6
"sếp gọi",6
"anh đang bận họp",6
"kế toán xuất quỹ",6
"chuyển tiền hoa hồng",6
"làm thủ tục nhanh",6
"số thẻ kế toán",6
"đối tác cần gấp",6
"anh chưa kịp ra ngân hàng",6
"xử lý trước cho công ty",6
"sếp đang tiếp khách",6
"báo cáo sếp",6
"lệnh thanh toán gấp",6
"mail giả mạo",6
"tiền công tác",6
"mượn tiền gấp",7
"vay tạm",7
"thiếu tiền đổ xăng",7
"bạn học cũ",7
"họ hàng xa",7
"hưởng hoa hồng",7
"thanh toán hộ",7
"quên mang ví",7
"có việc khẩn cấp",7
"chuyển khoản giúp",7
"đồng nghiệp cũ",7
"người quen lâu năm",7
"cần mượn gấp",7
"xin vay tạm",7
"trợ giúp khó khăn",7
"giải quyết việc nhà",7
