text,label
"Văn phòng Công an Thành phố Hà Nội xin thông báo anh có một lệnh bắt tạm giam vì nghi án rửa tiền",0
"Cục CSĐT đang kiểm tra tài khoản ngân hàng của bạn do nghi ngờ liên quan tới đường dây ma túy lớn",0
"Tòa án nhân dân quận thông báo bạn có giấy triệu tập vì nợ quá hạn và vi phạm pháp luật",0
"Chúng tôi đã thu thập đủ bằng chứng về việc bạn trốn thuế và rửa tiền, hãy hợp tác phối hợp điều tra",0
"Đội cảnh sát giao thông thông báo bạn có biên bản phạt nguội chưa thanh toán, hãy cung cấp CCCD",0
"Alo, đây là trung úy Nguyễn Văn Nam từ bộ công an, anh đang bị điều tra trong vụ án kinh tế",0
"Ông có phải là chủ sở hữu số tiền 2 tỷ đồng trong tài khoản bị phong tỏa không?",0
"Nếu chị không hợp tác khai báo, chúng tôi sẽ cử người đến nhà áp giải ngay lập tức",0
"Hãy chuyển số tiền đang có sang tài khoản tạm giữ của bộ công an để chúng tôi đối soát",0
"Đây là chuyên án tuyệt mật, anh không được tiết lộ with bất kỳ ai, kể cả người thân",0
"Chúng tôi phát hiện căn cước công dân của bạn đang được dùng để mở tài khoản ma túy",0
"Hãy làm theo hướng dẫn của chuyên viên điều tra để chứng minh mình vô tội",0
"Vụ án này rất nghiêm trọng, nếu bạn không thành khẩn sẽ bị truy tố hình sự",0
"Yêu cầu ông cung cấp toàn bộ sao kê ngân hàng trong 6 tháng gần nhất để phục vụ công tác điều tra",0
"Lệnh bắt khẩn cấp đã được phê chuẩn, chúng tôi sẽ thi hành nếu bạn không giải trình rõ ràng",0

"Cục Thuế xin thông báo bạn có một khoản thuế thu nhập cá nhân chưa quyết toán, hãy tải app VNeID để kê khai",1
"Cán bộ phường thông báo bạn cần cập nhật định danh điện tử mức 2 ngay hôm nay thông qua ứng dụng dịch vụ công",1
"Chúng tôi đang thực hiện sinh trắc học cho CCCD gắn chip, hãy làm theo hướng dẫn để không bị khóa thẻ",1
"Thông báo từ Tổng cục Thuế về việc hoàn tiền thuế giá trị gia tăng, hãy xác thực tài khoản trên app",1
"Đề nghị anh/chị tải ứng dụng Chính phủ điện tử để kích hoạt tài khoản VNeID và cập nhật thông tin hộ khẩu",1
"Cảnh báo: Tài khoản VNeID của bạn sẽ bị vô hiệu hóa nếu không cập nhật sinh trắc học trước 24h",1
"Tôi là cán bộ quản lý thuế tại địa phương, bạn đang nợ thuế môn bài năm 2024",1
"Hãy truy cập vào đường link sau để cài đặt ứng dụng Dịch vụ công quốc gia phiên bản mới nhất",1
"Việc đồng bộ hóa dữ liệu dân cư đang gặp lỗi, hãy làm theo hướng dẫn để không bị mất thông tin",1
"Anh cần phải khai báo lại thông tin cư trú trên ứng dụng định danh cá nhân ngay bây giờ",1
"Đây là thông báo khẩn từ chi cục thuế, bạn có lịch hẹn lên làm việc để đối soát doanh thu",1
"Hệ thống định danh điện tử đang nâng cấp nội bộ, hãy cung cấp mã xác nhận để chúng tôi hỗ trợ",1
"Bạn có thể được miễn giảm thuế nếu tham gia chương trình hỗ trợ doanh nghiệp của chúng tôi",1
"Hãy click vào link này để nhận hướng dẫn cài đặt phần mềm Thuế điện tử trực tuyến",1
"Ứng dụng cổng dịch vụ công đang yêu cầu xác minh khuôn mặt lại từ đầu để bảo mật",1

"Trung tâm viễn thông thông báo thuê bao của bạn sẽ bị khóa hai chiều sau 2 giờ nữa nếu không cập nhật thông tin",2
"SIM của bạn đang bị tranh chấp khiếu nại, hãy nhấn phím 1 để gặp tư vấn viên giải quyết",2
"Nhà mạng thông báo bạn cần chuẩn hóa thông tin thuê bao theo Nghị định 49 của Bộ Thông tin Truyền thông",2
"Chúng tôi phát hiện SIM của bạn đang thực hiện hành vi lừa đảo, hệ thống sẽ thực hiện cắt SIM trong 30 phút",2
"Dịch vụ khách hàng thông báo bạn đăng ký thành công gói cước trả sau, phí duy trì là 500k mỗi tháng",2
"Số điện thoại này sẽ bị thu hồi về kho số nếu bạn không chính chủ trong hôm nay",2
"MobiFone thông báo quý khách đang nợ cước viễn thông quốc tế quá hạn lâu ngày",2
"Hãy soạn tin nhắn theo cú pháp sau để kích hoạt lại dịch vụ liên lạc đã bị tạm dừng",2
"Chúng tôi đang kiểm tra các thuê bao thực hiện cuộc gọi rác, số của bạn nằm trong diện tình nghi",2
"SIM của anh đang bị người khác dùng để spam tin nhắn quảng cáo trái phép",2
"Cần xác minh danh tính chủ thuê bao để không bị chặn liên lạc khẩn cấp",2
"Nhà mạng Viettel thông báo bạn đã hết hạn sử dụng dịch vụ 4G, hãy gia hạn ngay",2
"Quý khách vui lòng cung cấp số CCCD để chúng tôi làm thủ tục đăng ký SIM chính chủ",2
"Hệ thống tổng đài sẽ tự động ngắt kết nối số này do vi phạm quy định an ninh mạng",2
"Bạn có muốn chuyển đổi sang SIM 5G miễn phí không? Hãy làm theo hướng dẫn của nhân viên",2

"Tài khoản Zalo của bạn đang bị đăng nhập từ thiết bị lạ, hãy cung cấp mã OTP để chúng tôi bảo mật lại",3
"Facebook của bạn bị báo cáo vi phạm tiêu chuẩn cộng đồng, hãy gửi ảnh CCCD để mở khóa ngay lập tức",3
"Chúng tôi là bộ phận hỗ trợ kỹ thuật của Zalo, tài khoản của bạn đang có nguy cơ bị hack vĩnh viễn",3
"Hãy tải phần mềm AnyDesk hoặc TeamViewer để chúng tôi truy cập từ xa và xử lý lỗi phần mềm cho máy bạn",3
"Mật khẩu Facebook của bạn đã bị thay đổi, hãy nhấn vào link sau để lấy lại quyền truy cập",3
"Tài khoản của bạn vừa thanh toán một đơn hàng ứng dụng trị giá 2 triệu đồng, có đúng không?",3
"Cảnh báo bảo mật: Ai đó đang cố gắng reset mật khẩu của bạn từ một tỉnh thành khác",3
"Hãy chụp ảnh màn hình phần tin nhắn để kỹ thuật viên kiểm tra lỗi đồng bộ",3
"Chúng tôi cần mã code gửi về máy bạn để xác nhận bạn là chủ sở hữu hợp pháp của tài khoản",3
"Nếu không xác thực thiết bị ngay bây giờ, toàn bộ dữ liệu tin nhắn của bạn sẽ bị xóa sạch",3
"Dịch vụ bảo mật tài khoản mạng xã hội đang có chương trình miễn phí cho người dùng cũ",3
"Anh ơi, máy em bị treo, anh thử đăng nhập hộ em vào cái link này xem có được không",3
"Hãy cài đặt app bảo mật này để bảo vệ điện thoại khỏi virus và tin tặc",3
"Chúng tôi phát hiện có kẻ đang lấy ảnh của bạn để đi lừa đảo, hãy nhấn vào link để xem bằng chứng",3
"Bộ phận hỗ trợ kỹ thuật Google thông báo Gmail của bạn đang bị đầy dung lượng hoặc bị chặn",3

"Bệnh viện Chợ Rẫy thông báo người nhà bạn vừa bị tai nạn giao thông rất nặng, cần chuyển phí phẫu thuật gấp",4
"Anh ơi con anh bị ngã cầu thang ở trường đang cấp cứu tại viện, cần đóng tạm ứng viện phí 20 triệu",4
"Bệnh viện Nhi Đồng thông báo bệnh nhi đang trong tình trạng nguy kịch, đề nghị người nhà chuyển khoản gấp",4
"Alo đây là bác sĩ bệnh viện, con chị đang cần mổ gấp do chấn thương sọ não, chị chuyển tiền trước đi",4
"Chúng tôi cần xác nhận thông tin bảo hiểm y tế của bệnh nhân đang nằm viện, hãy cung cấp số tài khoản",4
"Chào ông, tôi là giáo viên chủ nhiệm, con ông bị ngất trong lớp và đã được đưa đi viện cấp cứu",4
"Tình trạng của bé hiện nay rất nguy hiểm, bác sĩ cần mổ ngay, gia đình hãy nộp tiền ngay để lấy thuốc",4
"Con bạn đang nằm ở khoa hồi sức tích cực, chúng tôi cần tiền để mua thiết bị hỗ trợ thở cho cháu",4
"Bệnh viện 115 đang giữ một bệnh nhân vô gia cư có đặc điểm giống người thân của bạn",4
"Hãy chuyển tiền vào số tài khoản của bệnh viện (thực ra là của kẻ lừa đảo) để đặt cọc phòng mổ",4
"Tôi vừa đưa người nhà bạn vào viện, tôi đã ứng trước tiền thuốc, bây giờ bạn chuyển lại cho tôi",4
"Thông báo từ phòng hành chính bệnh viện về việc thanh toán viện phí phát sinh của ngày hôm nay",4
"Cấp cứu khẩn cấp: Cần mua nhóm máu hiếm cho người nhà bạn, hãy chuyển khoản để đặt hàng ngay",4
"Bác sĩ thông báo người thân của bạn đã qua cơn nguy kịch nhưng cần phẫu thuật thêm một lần nữa",4
"Hãy cung cấp thông tin cá nhân của người nhà để chúng tôi làm hồ sơ nhập viện khẩn cấp",4

"Con bạn đang bị chúng tôi bắt giữ, nếu không chuyển 500 triệu thì chúng tôi sẽ không đảm bảo tính mạng",5
"Chúng tôi đã bắt cóc người thân của bạn sang Campuchia, hãy chuẩn bị tiền chuộc ngay nếu muốn họ về",5
"Nếu mày báo công an thì đừng hòng thấy mặt con mày nữa, chuẩn bị sẵn tiền để ở địa điểm đã hẹn",5
"Người nhà bạn đang nợ tiền chúng tôi và đang bị giam giữ, hãy thanh toán nợ để họ được thả",5
"Mày có biết con mày đang ở đâu không? Tụi tao đang giữ nó đây, chuyển tiền ngay",5
"Chúng tao đang đứng trước cửa nhà mày, nếu không muốn đổ máu thì hãy đưa tiền đây",5
"Tao đã cài người theo dõi gia đình mày, đừng có mà giở trò",5
"Hãy mang tiền đến bãi đất trống ở quận 9, tụi tao sẽ giao người",5
"Mọi hành động của mày đều đang nằm trong tầm kiểm soát của tụi tao",5
"Nếu mày muốn con mày về nhà an toàn thì hãy giữ im lặng và làm theo lệnh",5
"Mày có muốn nhìn thấy ngón tay của nó không? Đừng có mà thách thức tụi tao",5
"Tiền đâu? Sao vẫn chưa thấy chuyển? Tao sẽ cho nó đi bán thận ở biên giới bây giờ",5
"Chúng tao không có nhiều kiên nhẫn đâu, đây là cơ hội cuối cùng của mày",5
"Mày nghĩ công an sẽ cứu được nó à? Tụi tao đã chuẩn bị sẵn đường lùi rồi",5
