text,label
lên phường nha,0
mời chú lên đồn,0
xích nó lại,0
tóm cổ nó,0
dắt lên đồn,0
bế đi luôn,0
vô khám ngồi,0
xé lịch mỏi tay,0
cớm tới kìa,0
hình sự bận đồ thường,0
giấy mời xanh lè,0
áo vàng ngoắc lại,0
thổi nồng độ đi,0
lụm luôn đi,0
vô tròng rồi,0
ăn trát hầu tòa,0
đi tù mọt gông,0
mời lên uống nước trà,0
bắt quả tang tại trận,0
xe thùng hốt đi,0
thổi cồn ớn lạnh,0
kiểm tra hành chánh,0
đóng phạt mệt nghỉ,0
bắt nó liền nha,0
đóng thuế mệt luôn,1
lên xã khai báo,1
làm cccd gắn chip,1
định danh mức hai tải app,1
phạt nguội lòi họng,1
đóng biên lai tiền,1
cán bộ hộ tịch kêu,1
nộp thuế trước bạ,1
nộp phạt hành chánh,1
khai báo tạm vắng tạm trú,1
ra kho bạc nộp,1
sổ hồng sổ đỏ chà bá,1
xin giấy phép lằng nhằng,1
lên ủy ban mần giấy,1
thủ tục phiền phức quá,1
lệ phí làm hồ sơ,1
đóng tiền thuế đất,1
lăn tay làm cccd,1
khai sinh cho nhỏ,1
làm sổ hộ khẩu,1
bị ủy ban phạt,1
công chứng giấy tờ nhanh,1
bản sao y bản chính,1
thuế má tùm lum,1
mạng lắc tung chảo,2
rớt mạng hoài,2
tịt ngòi sóng,2
sim rác bạt ngàn,2
đăng ký xài 4g,2
nhá máy ba chớp,2
nhá cúp nhá cúp,2
tổng đài vina réo,2
chặn số quấy rối,2
khóa chiều gọi đi,2
sim bị thu hồi,2
cập nhật căn cước sim,2
mạng quay vòng vòng,2
nạp cạc điện thoại,2
bị trừ cước xàm xí,2
cước phát sinh đâu ra,2
đứt cáp quang biển,2
mạng yếu xìu,2
mất sóng đơ máy,2
wifi đứng hình,2
viettel lag quá,2
vina rớt hoài,2
gọi méo bắt máy,2
cước gọi cắt cổ,2
bay acc fb,3
mất nick zalo,3
nick bị hack tá lả,3
click link bậy bạ,3
bị lừa lấy mã otp,3
mã đăng nhập gửi về,3
virus dính chà bá,3
bị khóa mỏ 30 ngày,3
lập nick giả danh,3
clone phá đám,3
hacker hack face,3
mạo danh lừa gạt,3
lấy lại mật khẩu,3
khôi phục mk rắc rối,3
tải app tào lao,3
app ăn cắp thông tin,3
dính gậy bản quyền sập page,3
scan mã qr lởm,3
vô hiệu hóa tài khoản,3
report chết nick,3
nick chính chủ bị mất,3
bị văng ra khỏi nick,3
phần mềm gián điệp,3
bay màu tick xanh,3
vô nhà thương,4
cấp cứu lẹ lẹ,4
đóng tiền mổ gấp,4
chuyển khoản tạm ứng nhen,4
uýnh lộn bể đầu,4
tai biến méo miệng,4
đứt mạch máu não,4
bác sĩ kêu nộp tiền,4
viện phí nhảy số,4
xin chuyển khoản nhập viện,4
mổ màng túi,4
máu chảy tè le,4
chuyển lên tuyến trên gấp,4
cần nhóm máu hiếm,4
nhồi máu cơ tim tức ngực,4
nằm hồi sức mệt mỏi,4
ứng cọc viện phí cao,4
tiền thuốc thang mắc quá,4
xe bóp còi inh ỏi,4
mổ cấp tốc ngay,4
bị vỡ sọ gãy giò,4
cần vô máu,4
bác sĩ dặn đóng tiền,4
tai nạn nghiêm trọng,4
gom tiền chuộc lẹ,5
tụi tao xé xác,5
mang tiền tới điểm hẹn,5
báo hình sự tao cắt cổ,5
giang hồ kéo tới nhà,5
cho ăn kẹo đồng gặm mỏ,5
tao xử mày đẹp,5
xin mày tha mạng,5
lạy ông đi qua,5
mang cắc tới tao thả con,5
khứa cổ chảy máu,5
bắt cóc đòi chuộc,5
con mày khóc thét,5
tao tạt mắm tôm,5
tao quăng sơn hủ sành,5
để nợ tao yên,5
ra ngoải tao tính sổ,5
tao lụi mày chết,5
đập tan nát,5
cho giang hồ xử đẹp,5
thuê xã hội đen uýnh,5
cướp luôn con,5
nộp mạng mày ra,5
tao băm vằm mày,5
giám đốc ngoắc,6
sếp bự chỉ đạo,6
chuyển khoản tạm ứng nghen,6
xuất cái quỹ lẹ,6
tiền bôi trơn hoa hồng,6
chiết khấu dự án,6
sếp đang kẹt xèng,6
trả đối tác lẹ đi,6
sếp đang kẹt xíu,6
quỹ phòng ban chuyển đi,6
giải ngân lẹ làng,6
kế toán ck rẹc rẹc,6
chi ra khẩn cấp,6
chuyển khoản thầu,6
khỏi cần ký tá gì sất,6
chuyển cọc mần ăn,6
hóa đơn vống lên,6
tiền chênh lệch hớt váng,6
hoa hồng trích phần trăm,6
tiền nhét phong bì mềm,6
mua quà biếu sếp bự,6
đi ngoại giao liền,6
tiền tiếp khách nhậu,6
trích quỹ công đoàn,6
kẹt tiền quá xá,7
mượn vài xị đi,7
rớt ví mất tiêu,7
quét mã cho tao mượn,7
ví bị rỗng túi,7
mượn xíu xiu nghen,7
mai tao rảnh tao trả,7
tài khoản bị lủng,7
cho mượn đỡ một khúc,7
mượn đóng tiền xăng,7
mượn tiền nạp điện thoại,7
đang đi siêu thị hụt,7
thẻ bị nuốt,7
thanh toán bill giùm cái,7
ứng trước xài,7
đang đứng cây xăng,7
xù nợ à,7
khất nợ riết,7
mượn xíu mai gởi lại,7
người quen mượn mõ xíu,7
bùng nợ tao phốt,7
quét thẻ mã quờ rờ,7
bị ghép mặt video call,7
bể camera,7
quà bên bển về,8
kiện hàng mỹ bự chà bá,8
gửi đô la rủng rỉnh,8
kẹt ở hải quan tân sơn nhất,8
quà giá trị cao lắm,8
đóng lệ phí hải quan nha,8
kẹt phí thông quan,8
hải quan giam hàng,8
bưu kiện mắc kẹt ở trạm,8
có kiều hối gửi về,8
thuế xuất nhập khẩu mắc,8
bưu điện báo đóng phạt,8
dọa tịch thu hàng hóa,8
cước vận chuyển quốc tế,8
anh người yêu tây lông,8
ổng lính bên mỹ,8
chồng ảo hứa gửi tiền,8
phí lưu kho sân bay,8
thẻ tín dụng bên tây kẹt,8
chi phí lót tay nhận quà,8
người iu bên bển gửi,8
quà ngoại kẹt kho,8
yêu đương mây khói,8
bưu cục gửi giấy rạt,8
lộ clip nhạy cảm nhen,9
clip đen xì lòi,9
dọa xả clip lút cán,9
tung hê lên phây búc,9
gửi video nóng cho sếp coi,9
bóc phốt mày có trà xanh,9
nộp tiền chuộc ảnh,9
đòi tiền mua lại clip,9
hack camera quay lén,9
dọa bêu rếu cõi mạng,9
bóp dái mày trên mạng,9
ép giá mua video,9
ảnh trần trụi bốc lửa,9
tung clip 18 cộng,9
bấn loạn sợ bị phốt,9
tung danh tính lên mạng,9
làm nhục mặt mũi,9
chặn số thì xả clip,9
bôi tro trát trấu tơi bời,9
phá tan nát gia cang,9
đe dọa tống tiền mạng,9
tải video gửi cho vợ coi,9
ghép ảnh chế mặt tao,9
sỉ nhục trên mạng xã hội,9
quyên góp giúp bá tánh,10
cháu bé bị ung thư hạch,10
hoàn cảnh bi đát quá xá,10
mạnh thường quân ra tay,10
cứu trợ bão miền tây,10
lập quỹ chùa giả mạo,10
kêu gọi cưu mang tụi nhỏ,10
bữa cơm mặn cho trò nghèo,10
mượn danh đánh vô lòng thương,10
lừa tiền từ thiện ảo,10
quỹ bác ái rởm,10
khoe sao kê phông bạt,10
mẹ góa con côi đói khát,10
hình xót xa thấu ruột,10
lừa gạt tấm lòng hảo tâm,10
chôm hình bệnh viện ghép vô,10
kêu gọi quyên cọc cứu trợ,10
quyên tiền mổ tim từ tâm,10
tài khoản mạo danh mặt trận,10
chuyển khoản từ thiện bùng,10
tự phát lập quỹ ảo,10
báo mạng đăng khổ sở,10
trục lợi từ đau ốm,10
lợi dụng thiên tai lũ,10
chơi tiền ảo ngon ăn,11
lướt sóng úp sọt,11
đu đỉnh mát mẻ,11
bắt đáy bắt sập gầm,11
đánh sàn ảo ảo,11
phái sinh nhức nách,11
chuyên gia xạo sự,11
đọc lệnh trật lất,11
bao lời không bao lỗ,11
cam kết lời năm chục phần trăm,11
hội vip cho số chuẩn rớt,11
lùa gà lùa vịt,11
nạp rút úm ba la,11
x hai tài khoản lẹ,11
nâng cấp phần mềm ảo,11
đóng tiền mở mạng bẻ khóa,11
đầu tư cắn vô trái đắng,11
app bị sập nguồn,11
nộp thuế rút tiền ảo,11
xả hàng thoát xác,11
sàn sập mất trắng,11
đồng coin lạ rớt giá,11
bơm xả pump dump,11
bảo hiểm tiền cháy sàn,11
rảnh rỗi mần ctv,12
tuyển coi tóp tóp,12
đánh giá thả tim đồ,12
chốt đơn ảo húp hoa hồng,12
làm tại nhà việc xịn,12
nạp tiền ưng đơn ảo,12
mua hoàn tiền mắc bẫy,12
nạp cọc dính chấu,12
làm thao tác nhận nhiệm vụ,12
nhiệm vụ thanh toán trước xíu,12
tuyển trưởng nhóm nhận lương hời,12
làm linh tinh lụm tiền,12
ứng tiền ôm sô,12
mua đơn khống lấy tiền tươi,12
hack view tăng sub ảo,12
lùa ctv ôm đơn chót,12
phí phần mềm làm việc,12
nạp dặm nhận lãi sập app,12
hồ sơ ctv bị giam tiền,12
auto click tăng dăm ba xu,12
phốt công việc thu cọc,12
cày seeding bị bùng tiền,12
giọng ngon dụ làm ctv,12
tới kho nhận hàng giả,12
trúng sế hộp bự chà bá,13
trúng lộc cái iphone,13
phần thưởng xe xịn,13
vòng quay hên xui trúng chóc,13
đóng lệ phí sang tên xe,13
nhận quà gửi tại nhà,13
trúng giải đặc biệt hú hồn,13
bưu điện tới phát thẻ,13
mã thẻ trúng tủ lạnh,13
lộc rơi vô đầu,13
nộp thuế thu nhập xạo,13
thẻ cào cạo trúng ngay,13
nhân viên điện máy báo trúng,13
lễ tri ân cho vàng,13
phần quà lộc lá tổ chảng,13
sự kiện bốc thăm ảo lòi,13
đóng thuế phí xác thực giải,13
voucher kẹo ngọt dụ gà,13
nhận tiền cọc thuế,13
