text,label
"Đây là công an thành phố, chúng tôi phát hiện số điện thoại của anh liên quan đến vụ án rửa tiền xuyên quốc gia",0
"Tôi là thiếu tá Nguyễn Văn Hùng bộ công an, anh đang bị điều tra vì tội lừa đảo chiếm đoạt tài sản",0
"Alo anh ơi, đây là công an quận Tân Bình, anh có lệnh triệu tập khẩn cấp vì liên quan đến đường dây đánh bạc online",0
"Day la cong an tinh, so dien thoai cua anh dinh liu den vu an buon ban chat cam",0
"Dạ chú ơi, đây là công an huyện, CMND của chú bị tội phạm sử dụng để rửa tiền, chú phải chuyển tiền vào tài khoản bảo vệ ngay",0
"Tui là đại uý Trần Minh Đức bên phòng an ninh kinh tế, anh đang bị khởi tố vì tài khoản ngân hàng của anh bị lợi dụng",0
"Alo đây là viện kiểm sát nhân dân, bà có liên quan đến vụ án lừa đảo, yêu cầu bà chuyển tiền vào tài khoản kiểm sát để xác minh",0
"Tôi là điều tra viên Lê Hoàng bên tổng cục cảnh sát, CMND của anh đang bị sử dụng mở tài khoản rửa tiền",0
"Mệ ơi đây là con an huyện nờ mệ, mệ đang bị dính vô vụ án buôn bán chất cấm, mệ phải chuyển tiền vô tài khoản an toàn",0
"Anh ơi đây là thanh tra bộ công an, anh đang bị điều tra vì tài khoản của anh bị tội phạm lợi dụng chuyển tiền bất hợp pháp",0
"Day la toa an nhan dan tinh, chung toi co lenh trieu tap anh vi toi tron thue",0
"Chào anh, tui là trung tá Phạm Văn Sơn bên công an thành phố, anh đang bị dính vô vụ rửa tiền triệu đô",0
"Ba ơi đây là công an tỉnh, CMND của ba bị tội phạm xài để rửa tiền, ba chuyển tiền vô tài khoản an toàn ngay đi ba",0
"Đây là cảnh sát kinh tế, anh đang bị điều tra vì tài khoản ngân hàng của anh được sử dụng để chuyển tiền bất hợp pháp",0
"Alo bác ơi đây là công an thành phố, bác phải chuyển tiền vào tài khoản bảo vệ ngay lập tức nếu không bác sẽ bị bắt giam",0
"Tui la thieu ta ben cong an TP, chi dang bi truy na vi lien quan vu an buon lau",0
"Dạ alo tui là công an quận, anh có biết anh đang bị khởi tố hông? SĐT anh dính vô vụ lừa đảo triệu đô rồi",0
"Đây là bộ công an, chúng tôi yêu cầu anh cung cấp thông tin tài khoản để phục vụ điều tra, nếu không hợp tác sẽ bị khởi tố",0
"Alo anh Hai phải hông? Đây là đại uý Trần bên công an, anh đang bị truy nã vì tội rửa tiền",0
"Mẹ ơi đây là công an phường gọi mẹ, CMND của mẹ bị ai đó dùng để mở tài khoản lừa đảo",0
"Day la vien kiem sat, ba dang bi khoi to vi toi lua dao, yeu cau ba chuyen tien de xac minh",0
"Chú ơi đây là cán bộ điều tra công an tỉnh, chú phải ra trình diện ngay nếu không chú bị bắt giam",0
"Tôi là trung tá Nguyễn Minh Tuấn bộ công an, lệnh bắt giam của anh đã được phê duyệt",0
"O oi, day la con an huyen, o dang bi truy to vi toi lua dao",0
"Đây là thiếu tá bên tổng cục cảnh sát, bà đang bị điều tra, yêu cầu bà chuyển toàn bộ tiền tiết kiệm vào tài khoản bảo vệ nhà nước",0
"Anh ơi đây là công an huyện, lệnh bắt giam của anh đã được tống đạt, anh phải chuyển tiền bảo lãnh ngay",0
"Alo chi oi, day la canh sat hinh su, chi dang bi dieu tra vi tai khoan ngan hang cua chi lien quan den vu an rua tien",0
"Dạ bác ơi, đây là công an xã, bác đang bị tố cáo tội lừa đảo, yêu cầu bác ra trình diện ngay lập tức",0
