text,label
lên phường nờ,0
cho trốc lên đồn,0
xích trốc,0
tóm bầy mi,0
đập vô trốc,0
cớm nờ,0
bộ đội ni,0
dân phòng rứa,0
đi bóc lịch hỉ,0
ngồi ấp rứa,0
mời lên chè,0
sớ mời xanh,0
bắt tạ trận,0
xe thúng ni,0
tuýt còi hỉ,0
chốt thổi cồn,0
đo cồn nờ,0
kiểm tra răng,0
xét xử hỉ,0
truy nã mi,0
bắt mi luôn,0
đi tong rứa,0
vô tròng nờ,0
công an phường hỉ,0
thuế má chi,1
đóng thuế nờ,1
lên xã mần,1
mần cccd,1
cccd có chip,1
định danh mức hai,1
giấy cớ ni,1
phạt nguội dóng,1
đóng biên lai,1
cán bộ hộ khẩu,1
nộp thuế đất,1
thuế trước bạ,1
nộp phạt hành chính,1
khai báo lưu trú,1
lăn tay ni,1
cán bộ xã nờ,1
phạt hành chánh,1
ra kho bạc hỉ,1
mần giấy tờ,1
sổ đỏ chi rứa,1
mần sổ hồng,1
giấy phép rứa,1
mần nờ,1
bãi bỏ hỉ,1
mạng lag rứa,2
rớt sóng nờ,2
tịt mạng hỉ,2
sim rác ni,2
gói data rứa,2
gọi chi rứa,2
nháy máy nờ,2
chặn số hỉ,2
sim bị khóa tịt,2
thu hồi sim ni,2
chuẩn hóa sim hỉ,2
cước cao rứa,2
báo hỏng mạng nờ,2
wifi đơ rứa,2
đứt cáp quang nờ,2
mạng mòng mòng,2
mạng chi lag rứa,2
nạp cạc điện thoại,2
bị trừ cước láo,2
cước phát sinh chi,2
báo hỏng mạng ni,2
viettel lag rứa,2
vina bị rớt,2
thẻ cào rứa,2
mất nick fb rứa,3
bay màu zalo,3
nick bay rứa,3
bị hack nick hỉ,3
link độc ni,3
lấy mã otp nờ,3
khôi phục pass rứa,3
khóa tk tạm thời,3
bị dính virus rứa,3
bị cấm chat hỉ,3
lập nick ảo nờ,3
hack fb mi,3
hack zalo mi,3
truy cập lạ rứa,3
bảo mật nick nờ,3
rò rỉ thông tin hỉ,3
tải app chi nớ,3
ứng dụng lừa đào nờ,3
mã qr bị lỗi,3
quét mã rứa,3
nick của mềnh,3
bị rp nick nờ,3
khóa fb hỉ,3
bay clone rứa,3
vô viện nờ,4
mổ gấp rứa,4
đóng tiền mổ hỉ,4
tạm ứng viện phí,4
đụng xe đổ máu,4
máu tụ rứa,4
gãy giò ni,4
tai biến nờ,4
vô hầm cứu thương,4
vô hồi sức nạp,4
bác sĩ kêu đóng,4
xin chuyển khoản mổ,4
chuyển lên tuyến trên,4
mổ não nờ,4
máu chảy rứa,4
chuẩn bị tiền mổ,4
đóng viện phí rứa,4
cấp cứu hỉ,4
hôn mê chặp,4
xe cứu thương kêu,4
cần máu gấp nờ,4
ứng cọc tiền thuốc,4
xin chuyển tiền gấp,4
tiền thuốc thang nờ,4
chuẩn bị tiền chuộc nờ,5
không tau giết,5
cúp trốc mi,5
mang tiền tới ni,5
báo cớm tau đâm,5
ăn đạn nờ,5
dọa mi nờ,5
mướn giang hồ hỉ,5
tìm về tận nhà,5
