text,label
lên phường,0
lết lên phường,0
cho lên đồn,0
bế đi,0
còng tay,0
xích tay,0
dọa gô cổ,0
mời lên uống nước chè,0
giấy mời xanh,0
áo xanh,0
hình sự chìm,0
nằm vùng,0
nằm vùng bắt,0
tóm gọn,0
lệnh bắt giam,0
viện kiểm sát gọi,0
cớm,0
săn bắt cướp,0
đi bóc lịch,0
bóc lịch,0
xé lịch,0
bế lên xe,0
lên xe thúng,0
xe đặc chủng,0
áo vàng,0
tuýt còi,0
chốt giao thông,0
đo cồn,0
thổi nồng độ,0
chốt 141,0
bắt tại trận,0
vồ ếch,0
đi tong,0
truy thu thuế,1
trốn thuế,1
nợ đọng,1
sổ đỏ sổ hồng,1
công chứng tư pháp,1
lên phường đóng dấu,1
làm sổ hộ khẩu,1
giấy kt3,1
cái cccd,1
làm thẻ căn cước,1
dịch vụ công quốc gia,1
định danh mức hai,1
nộp phạt nguội,1
đóng biên lai,1
cán bộ hộ tịch,1
nộp thuế đất,1
thuế trước bạ,1
nộp phạt hành chính,1
khai báo lưu trú,1
quét vân tay,1
cán bộ xã,1
bị phạt hành chính,1
ra kho bạc,1
đóng tiền phạt,1
mất sóng,2
tịt ngòi,2
tổng đài vina,2
sim rác,2
sim khuyến mại,2
mạng lag vãi,2
rớt mạng,2
đăng ký gói 4g,2
gọi cháy máy,2
nhá máy,2
nháy máy,2
chặn số,2
thuê bao khóa,2
thu hồi sim,2
cập nhật ảnh thẻ,2
chuẩn hóa thông tin,2
sim bị khóa chiều,2
gọi tổng đài,2
trừ cước láo,2
cước phát sinh,2
báo hỏng mạng,2
cục wifi,2
mạng đơ,2
đứt cáp,2
mạng quay mòng mòng,2
mật khẩu bị lộ,3
bay màu facebook,3
bay nick,3
mất nick facebook,3
nick ảo,3
acc clone,3
bọn trộm nick,3
tin nhắn đòi mã otp,3
mã đăng nhập,3
link độc,3
click nhầm link,3
dính virus,3
khóa tài khoản tạm thời,3
khiếu nại báo cáo,3
dính gậy bản quyền,3
mở khóa fanpage,3
bóp tương tác,3
sập page,3
khôi phục mk,3
tải app linh tinh,3
app đòi quyền,3
bị hack zalo,3
mã qr lạ,3
cảnh báo đăng nhập lạ,3
nick chính chủ,3
đi cấp cứu gấp,4
mổ gấp,4
đóng viện phí,4
tạm ứng tiền mổ,4
ngã dập não,4
máu tụ,4
gãy giò,4
vỡ bẽo,4
nhồi máu,4
tai biến,4
đột quỵ,4
thầy thuốc bảo,4
nhập viện gấp,4
bác sĩ chỉ định,4
xin chuyển khoản gấp,4
người nhà đóng tiền,4
chuyển tuyến trên,4
bệnh viện việt đức,4
bệnh viện bạch mai,4
nằm hồi sức,4
hôn mê rồi,4
cần truyền máu,4
ứng cọc viện phí,4
tiền nong gấp,4
xe cứu thương réo,4
chuẩn bị tiền chuộc,5
không tao giết,5
mang tiền đến ngay,5
báo công an tao chém,5
xin tí tiết,5
ăn kẹo đồng,5
đi tàu suốt,5
gọi 113 tao xử,5
mướn xã hội đen,5
giang hồ mạng,5
tìm đến tận nhà,5
chém cụt tay,5
xử đẹp,5
tao lạy mày,5
đừng dại dột,5
xách tiền ra bãi,5
khứa cổ,5
bắt cóc tống tiền,5
con mày đang khóc,5
dọa nạt,5
để yên tao làm việc,5
mày ra đây,5
không tao xé xác,5
tao đâm mày,5
tao lụi mày,5
chủ tịch gọi,6
sếp tổng dặn,6
chuyển tạm ứng,6
xuất quỹ gấp,6
tiền lót tay,6
chiết khấu hoa hồng,6
trả tiền đối tác,6
sếp đang họp kín,6
anh đang kẹt,6
chuyển cọc lô hàng,6
mượn tạm quỹ,6
quỹ đen,6
giải ngân nhanh,6
kế toán ck,6
chi gấp,6
chuyển khoản dự án,6
không kịp ký,6
cứ chuyển đi,6
hóa đơn đỏ,6
tiền chênh lệch,6
hoa hồng % cao,6
tiền biếu xén,6
phong bì,6
quà cáp sếp,6
thủ quỹ phát tiền,6
kẹt tiền,7
mượn vài loét,7
mượn vài củ,7
tao đang hết xèng,7
bí tiền,7
hết nấc,7
chuyển tỷ cho tao,7
nổ tài khoản,7
quét mã qr tao,7
điện thoại hỏng cam,7
mất ví,7
quên ví xíu,7
trả sau,7
mai tao gửi,7
đang kẹt thẻ,7
mượn tiền nạp,7
đang đi mua đồ,7
hụt tiền,7
thanh toán giùm,7
ứng trước tao trả,7
đang ở trạm xăng,7
quét momo,7
thiếu 500k,7
mượn xíu xiu,7
gửi tao mượn,7
quà bên tây,8
kiện hàng mỹ gửi về,8
gửi đô la la,8
hải quan nội bài,8
hộp quà giá trị,8
vướng hải quan,8
nộp lệ phí,8
phí thông quan,8
kẹt hàng ở sân,8
hải quan bắt đóng phí,8
