text,label
"Da alo toi la... la cong an thanh pho, chung toi phat hien so dien thoai cua anh dinh liu den vu an rua tien",0
"Đây là công... công ân thành phố, anh có lien quan đến đường dây ma tuý xuyên quốc gia, yêu cầu anh hợp tác điều tra ngay",0
"Alo đây là con an phường, anh đang bị tội phạm quốc tế lợi dụng tài khoan ngân hàng để rửa tiền, anh phải chuyển tiền vào tài khoản an toàn",0
"Alo... ờ... đây là công an... tỉnh, chúng tôi có lệnh... lệnh bắt giam anh vì tội rửa tiền... anh phải chuyển tiền vào tài khoản bảo vệ ngay",0
"Anh oi, day la cong an, anh dang bi dieu tra ve toi lua dao, yeu cau anh chuyen tien vao tai khoan an toan de chung minh vo toi",0
"Tôi là điều tra viên Nguyễn Văn... Văn Hùng, bộ con an, anh có liên quan đến vụ án buôn bán chất cấm, nếu không hợp tác anh sẽ bị bắt giam ngay",0
"Dạ... ờ chú ơi, đây là con an huyện, SĐT chú bị dính vô vụ... vụ rửa tiền quốc tế, chú phải chuyển hết tiền vô tài khoản bảo vệ chừ đi nờ",0
"Alo day la toa an nhan dan tinh, chung toi co lenh trieu tap anh vi toi tron thue, neu khong den se bi bat giam",0
"Đây... đây là viện kiểm... kiểm sát nhân dân, bà có liên quan đến vụ án lừa đảo chiếm đoạt tài sản, yêu cầu bà chuyển tiền vào tài khoản kiểm sát để xác minh",0
"Chào anh, đây là cong an quận Tân Bình, anh Nguyễn Văn... Hải phải hông, anh đang bị khởi tố vì liên quan tới đường dây đánh bạc online",0
"Tui là thiếu tá Trần Minh... Đức bên con an tỉnh, anh có lệnh triệu tập khẩn cấp, nếu hổng tới trình diện thì tui cho người tới bắt ngay",0
"Da alo, day la cong an xa, chu oi chu dang bi to cao toi lua dao, yeu cau chu ra trinh dien ngay lap tuc",0
"Alo bác ơi... đây là... là thanh tra bộ công an, bác đang bị điều tra vì tài khoản của bác... bác bị tội phạm lợi dụng chuyển tiền bất hợp pháp",0
"Mệ ơi đây là con an huyện, mệ đang bị dính vô... vô vụ án buôn bán chất cấm, mệ phải chuyển tiền vô tài khoản an toàn đặng bảo vệ mệ nờ",0
"Tôi là đại uý Lê Hoàng... bên phòng an ninh kinh tế, CMND của anh đang bị... bị sử dụng để mở tài khoan rửa tiền, anh phải xác minh ngay",0
