text,label
"CA gọi lên đồn",0
"tụi hình sự bế đi rồi",0
"bị công an còng đầu",0
"dính án ma túy",0
"nó đe hốt tao vô trỏng",0
"nhận trát hầu tòa",0
"bị gọi ra phường làm việc",0
"tòa án tống đạt giấy",0
"vụ rửa xèng to lắm",0
"đi bóc lịch chắc luôn",0
"xộ khám rồi mày ơi",0
"vào kho bóc lịch",0
"dính chuyên án lớn",0
"bọn ma túy nó khai ra",0
"phong tỏa tk bank",0
"nhận giấy triệu tập",0
"nó bảo tao rửa tiền",0
"sắp bị CA gông cổ",0
"CA quận gọi đi lấy lời khai",0
"bị tóm cổ vụ buôn lậu",0
"lệnh bắt tạm giam đem tới nhà",0
"chuẩn bị ăn cơm tù",0
"thuế nó đòi phạt",1
"lỗi định danh VNeID mức 2",1
"ra phường làm lại cccd",1
"cán bộ phường gọi xác minh",1
"chưa nộp thuế môn bài",1
"app thuế bị lỗi",1
"đóng thuế để khỏi bị phạt",1
"đồng bộ sinh trắc cái coi",1
"nộp phạt nồng độ cồn online",1
"bên dịch vụ công gọi",1
"mã số thuế bị khóa",1
"quét khuôn mặt trên app",1
"nộp thuế thu nhập cá nhân vớ vẩn",1
"bảo kê khai thuế sai",1
"Cán bộ ủy ban gọi điện",1
"tài khoản VNeID bị báo lỗi",1
"nhắn link tải app chính phủ giả",1
"thuế doanh nghiệp chưa đóng",1
"làm thủ tục hoàn thuế",1
"đóng tiền lệ phí hoàn thuế",1
"gửi link đuôi gov fake",1
"yêu cầu cài app độc hại",1
"sim rác bị khóa 2 chiều",2
"viettel nó chặn mạng tao",2
"nợ cước điện thoại quốc tế",2
"chưa đăng ký chính chủ sim",2
"số đt bị thu hồi",2
"chuẩn hóa thông tin thuê bao cccd",2
"nó bảo cắt cắt mạng",2
"phát tán tin nhắn rác bị khóa",2
"tổng đài gọi báo chặn số",2
"nợ tiền mạng viễn thông",2
"số vinaphone này sắp bị cắt",2
"báo sim vi phạm pháp luật",2
"click link để mở khóa sim",2
"cập nhật ID cho sim",2
"soạn tin nhắn mở khóa",2
"tổng đài ảo nó dọa",2
"mobi dọa thu hồi số",2
"gọi từ đầu số lạ hoắc",2
"yêu cầu cung cấp info sim",2
"sim này đăng ký sai CMND",2
"để sim không bị chặn 2 chiều",2
"xài sim không chính chủ bị hốt",2
"bay acc fb rồi",3
"mất nick zalo",3
"nhấn link bị hack mật khẩu",3
"mất tài khoản game",3
"nó gửi mã OTP đừng đọc",3
"quên pass đòi mã xác nhận",3
"tài khoản bị khóa tạm thời",3
"vi phạm tiêu chuẩn mxh",3
"fake avatar mượn tiền",3
"nó tạo nick ảo y chang",3
"bị report sập page",3
"link lấy lại fb",3
"cảnh báo bảo mật từ fb",3
"đăng nhập từ thiết bị lạ",3
"tài khoản email bị ăn cắp",3
"gmail bị khóa bảo mật",3
"nhắn mã qua SMS để mở khóa",3
"giả danh support facebook",3
"tick xanh facebook fake",3
"bị khóa mõm 30 ngày",3
"nick bị rip",3
"mất quyền truy cập insta",3
"mổ gấp ở chợ rẫy",4
"con bị đụng xe nằm viện",4
"ck tiền viện phí gấp",4
"bệnh viện phụ sản gọi báo",4
"tai nạn giao thông nát người",4
"phòng cấp cứu gọi đt",4
"nộp tiền tạm ứng viện phí",4
"bác sĩ bảo mổ gấp",4
"thủng sọ não rồi",4
"con bà đang nguy kịch",4
"thầy giáo chủ nhiệm báo tai nạn",4
"chuyển viện cần ứng tiền",4
"không mổ là chết",4
"máu hiếm cần tiền mua",4
"đóng viện phí online tốn kém",4
"nhập viện khẩn cấp",4
"vào bạch mai cấp cứu",4
"ck ngay để bác sĩ làm thủ tục",4
"giọng từ bệnh viện gọi",4
"cần tiền lo phẫu thuật",4
"chấn thương sọ não vỡ đầu",4
"đứa cháu đi học bị tai nạn",4
"tao đang giữ con mày",5
"ck ngay nếu muốn nó sống",5
"tiền chuộc 50 củ",5
"báo công an là tao chặt mạng nó",5
"chuyển xèng mau",5
"nhóm tao bắt cóc nó rồi",5
"không đc mở mồm với ai",5
"mang 100 củ ra ngõ",5
"nghe tiếng con khóc không",5
"hành tung tao giám sát hết",5
"xử đẹp thằng ranh con",5
"đưa tiền chuộc đây",5
"đừng hòng tao thả người",5
"tao theo dõi m sát nút",5
"hỏi nhiều tao chém",5
"bị giang hồ giữ lại",5
"nhốt trong phòng kín",5
"có chuyển tiền không thì bảo",5
"chuẩn bị đô la đem tới",5
"cắt đứt liên lạc là nó chết",5
"mày báo công an là toang",5
"đừng có giở trò với tao",5
"anh đang họp, em ck hộ",6
"sếp đang tiếp khách",6
"chuyển cho đối tác 50 củ",6
"tạm ứng quỹ công ty",6
"anh dùng thẻ kế toán xuất nhé",6
"chuyển tiền hoa hồng",6
"số tk này của sếp",6
"xử lý hợp đồng gấp",6
"anh chưa kịp ra bank",6
"kế toán trưởng đâu",6
"sếp gọi nhờ gửi tiền",6
"ck ngay cho lão kia",6
"tiền quỹ ngoại giao",6
"thương vụ này khẩn cấp",6
"anh cần đập vào tài khoản",6
"giám đốc bảo m ck",6
"đang bận trên ủy ban",6
"mày ting ting cho anh",6
"báo cáo lại sếp chưa",6
"nộp tiền công tác phí",6
"công ty đang thiếu vốn lưu động",6
"xử lý trước cho cty",6
