text,label
"Cục Hải quan thông báo, lô hàng quà tặng giá trị cao từ Anh của quý khách đang bị giữ lại do vượt định mức. Quý khách vui lòng chuyển khoản ngay lệ phí thông quan để được nhận hàng sớm nhất.",9
"Chào em, anh là kỹ sư dầu khí đang ở nước ngoài. Anh vừa gửi cho em một kiện toàn túi xách hàng hiệu và vòng cổ kim cương, nhưng bên hải quan yêu cầu phải nộp phí bảo lãnh vì giá trị quá lớn. Em thanh toán giúp anh nhé.",9
"Này em ơi, anh gửi nguyên một cái vali quà toàn đồ xịn từ bển về cho em đấy, cơ mà ở sân bay bọn hải quan nó giam lại bắt đóng thuế. Cô chịu khó chuyển khoản nộp thuế cho chúng nó đi rồi nhận quà nhé.",9
"Chị là nhân viên bên hải quan nhé, cái kiện hàng đóng mác ngoại tệ của chị bị giữ ở cửa khẩu rồi. Bây giờ chị có muốn nhận không thì nộp tiền phạt ngay vào đường link này, không là chúng tôi tịch thu sung công quỹ đấy.",9
"Chào o, tui bên bưu điện nì. Cái thùng quà to chà bá người yêu o gửi từ bển về đang bị hải quan chặn lại đồ rứa. O mà không mau mau chuyển cọc đóng phí bôi trơn là tụi ni tịch thu hết luôn đó nghe, nhanh lên không trễ chừ.",9
"Anh mần kỹ sư xa nhà, gửi cho em thùng đồ kim cương với tiền đô mà bị kẹt ở sân bay rồi. Em thương anh thì chuyển liền tiền thuế hải quan để họ thả hàng ra nha, gởi vô tài khoản ni giùm anh rứa.",9
"Dạ chị ơi, em bên kho hải quan báo cho chị biết cái kiện hàng chứa mấy chục ngàn đô la của chị đang bị giam nghen. Chị không đóng tiền phạt thuế là tụi em làm biên bản hủy hàng luôn đó, ráng xoay xở chuyển tiền lẹ giùm em nghen.",9
"Trời đất ơi cục cưng của anh, anh gởi về cho em cái thùng quà chà bá lửa toàn là đồ hiệu mà bị hải quan neo lại bển rồi. Em quẹt thẻ nộp đỡ tiền thế chân giùm anh đi, đặng tụi nó xuất kho cho em đem về xài chớ.",9
Chi hội chữ thập đỏ xin kêu gọi quyên góp khẩn cấp cho đồng bào vùng bão lũ đang bị cô lập hoàn toàn. Mong các mạnh thường quân hãy chuyển khoản ngay lập tức vào số tài khoản cá nhân của thủ quỹ dưới đây để cứu trợ đồng bào.,10
Hoàn cảnh của cụ bà bị tai nạn giao thông bỏ rơi rất thương tâm. Quỹ trái tim nhân ái đang khẩn thiết kêu gọi mọi người chuyển khoản tiền viện phí khẩn cấp để bệnh viện tiến hành ca phẫu thuật cứu người. Xin đa tạ công đức.,10
"Bác ơi, cháu đang kêu gọi giúp đỡ cho mấy trẻ em vùng cao mồ côi vừa bị bão quét sạch nhà cửa đây này. Các bác có lòng hảo tâm thì gửi vào số tài khoản của cháu để cháu đi mua mì tôm gạo muốt gửi cho các em nó.",10
"Trông cụ già bị xe tông nằm đấy mà xót gan xót ruột quá bác ạ. Bọn cháu đang lập cái quỹ khẩn cấp lo viện phí cho cụ, bác từ tâm thì chuyển khoản qua thẻ ngân hàng này giúp cháu, cứu một mạng người phúc đẳng hà sa.",10
"Dạ thưa bà con, hiện chừ bão lũ chia cắt miền Trung tội nghiệp lắm. Dân tình đang đói meo đói mốc, mong quý Phật tử gần xa từ bi hỷ xả chuyển khoản vô quỹ từ thiện của chùa ni đặng thầy mua gạo phát chẩn cứu đói nhe.",10
"Tội nghiệp thằng nhỏ bị ung thư máu mà cha mẹ bỏ rơi rứa đó. Ai thương tình xin chuyển khoản ủng hộ vô số thẻ cá nhân tui để tui đem vô viện đóng tiền thuốc cho cháu, làm phước có phước o nờ, nhín chút tiền ăn trưa thôi.",10
Đồng bào miền Tây đang bị sạt lở cuốn trôi hết nhà cửa trọi lủi rồi bà con cô bác ơi. Nhóm thiện nguyện kêu gọi anh em mạnh thường quân chuyển khoản nhanh vô số tài khoản này đặng tụi tui gom tiền đi cứu trợ gấp nghen.,10
"Nhìn cảnh bà cụ neo đơn không ai nuôi gầy nhom mà xót ruột quá xá. Tụi em đang quyên tiền vô quỹ để cất cho bả cái nhà tình thương, bá tánh ai có lòng thì chuyển tiền từ thiện vô app đây đặng tụi em mần phước nghen.",10
"Cơ hội đầu tư vàng vào nền tảng tiền ảo thu lợi nhuận lên đến ba mươi phần trăm mỗi ngày. Bạn chỉ cần nạp số vốn ban đầu rất nhỏ, các chuyên gia đọc lệnh sẽ đảm bảo cam kết bao cháy tài khoản và đền bù nếu thua lỗ.",9
Sàn chứng khoán phái sinh quốc tế đang có chương trình khuyến mãi nạp tiền gấp đôi vốn. Hãy chuyển khoản nâng cấp tài khoản VIP ngay hôm nay để nhận thông tin mật về các mã cổ phiếu chuẩn bị tăng trần từ ban quản trị.,9
"Này anh em, đang có cái kèo đầu tư tiền ảo thơm lắm, cứ nạp vào là có chuyên gia đọc lệnh bao lời ba mươi phần trăm một ngày nhé. Nhanh tay mà chuyển khoản lấy vốn vào đi, để lỡ nhịp là mất ăn đấy, cam kết sập sàn đền tiền luôn.",9
"Tôi bảo thật, chứng khoán bây giờ đầu tư theo hội nhóm VIP của bọn tôi là ăn chắc mặc bền nhất. Chị cứ chuyển khoản nạp phí vào nhóm đi, phím mã nào là nổ mã đấy, không thì cứ ngồi đấy mà nhìn thiên hạ làm giàu nhé.",9
"Bà con muốn đổi đời thì vô cái sàn tiền điện tử ni mà chơi, tụi đầu tư quốc tế họ chơi lời kinh khủng rứa đó. Chuyển tiền cọc vô đây đi tui bảo lãnh cho nghe lệnh của chuyên gia, một ngày lời mấy chục củ khỏe re, không chơi thì uổng lắm.",9
"Tham gia nhóm kín chứng khoán của tui là ăn chắc phần thắng trăm phần trăm nờ. Chị cứ mạnh dạn nạp tiền mua vé đăng ký tài khoản VIP đi, tui chỉ điểm mấy mã xanh tím cho mà coi, tiền vô như nước luôn chớ không giỡn mô.",9
"Trời ơi kèo thơm tiền ảo vầy mà hổng chơi là uổng quá xá uổng. Cứ nạp mạng vô sàn này đi, mấy ổng bên chuyên gia đọc lệnh bao ăn lời ba bốn chục phần trăm mỗi ngày lận. Lẹ tay chuyển khoản nộp vốn vô chớ để người ta nẫng tay trên mất nghen.",9
"Vô room VIP đánh chứng khoán đi anh trai, bữa nay tụi nước ngoài nó đẩy mã này lên cao ngất ngưỡng rồi. Nạp phí dô đăng ký thẻ hội viên rồi em bật mí cho mã nào chốt lời mạnh đặng gỡ gạc lại vốn, cam đoan đền tiền nếu lủng lưới nhe.",9
"Xin chào, công ty chúng tôi đang tuyển cộng tác viên xử lý đơn hàng trên hệ thống thương mại điện tử trực tuyến. Bạn chỉ cần nạp tiền cọc để thực hiện nhiệm vụ thả tim, bình chọn sản phẩm và nhận hoa hồng thanh toán ngay trong ngày.",9
"Tuyển nhân viên xem video TikTok làm việc tại nhà, thu nhập từ năm trăm nghìn đến một triệu một ngày. Yêu cầu duy nhất là bạn cần chuyển khoản phí kích hoạt phần mềm điểm danh để được hệ thống phân bổ nhiệm vụ liên tục.",9
