text,label
alo ông trốc lên phường uống chè mầy nha,0
tụi cớm lượn lờ chốt kia kìa đừng hòng chạy anh nờ,0
bị bắt giam chờ xét xử đóng phạt lẹ chị nghen,0
lệnh bắt giam ký rẹt rẹt hình sự gô cổ ông nội đấy,0
vô khám bóc lịch mỏi tay rứa ăn trát tòa chà bá nhỏ đó,0
để cớm vào cuộc là toang nhen xích cổ lên đồn thằng kia,0
viện kiểm sát triệu tập ma túy chứng cứ sờ sờ bà ngoại hỉ,0
bị túm tại trận rứa khóc lóc mô nờ ai,0
cáo trạng nhà chà bá lệnh niêm phong lẹ đi tui cơ,0
thổi nồng độ ớn lạnh nghen mọi người,0
phạm luật giao thông hốt thùng đi đồn nờ nhỏ đó,0
công an phường đòi trình diện rắc rối lắm nghen chị,0
gô cổ lên đồn xích lại mầy rứa,0
viện kiểm sát gọi điện rành rành rứa anh,0
trát hầu tòa ký rẹt rẹt vô khám nờ tui,0
niêm phong tài sản cưỡng chế nhà mẩy rứa,0
toang rồi dính ma túy án phạt tù nghen chị,0
xích cổ lên phường uống chè vãi chưởng thằng kia,0
tụi cớm bắt quả tang lượn lờ chốt nờ anh,0
chứng cứ sờ sờ rứa túm tại trận hỉ mầy,0
lệnh truy nã gô cổ bóc lịch dằn dơ nghen nhỏ đó,0
hình sự chìm thổi nồng độ ớn lạnh quá xá tui,0
viện kiểm sát gửi trát hầu tòa chà bá mọi người,0
bắt giam chờ ngày xét xử lẹ lên nhen ông nội,0
ăn cám rồi lên phường làm việc rành rành rứa chị,0
cán bộ yêu cầu mi lăn tay lẹ lên chừ nờ anh,1
dịch vụ công nộp phạt nguội nghen mạng lắc tung chảo tui,1
đóng thuế đất sấp mặt rứa nợ kho bạc chà bá nhỏ đó,1
chuẩn bị tiền quỹ vệ sinh đóng phạt hành chánh nờ mầy,1
hồ sơ phường lằng nhằng vãi chưởng chị,1
đi đăng kiểm xe rớt vèo vèo bực mình nghen ông nội,1
quyết toán năm nay toang rứa truy thu máu me bà ngoại,1
lên hộ tịch làm giấy khai sinh lẹ chứ nờ thằng kia,1
văn phòng công chứng chém đẹp phí trước bạ rứa mọi người,1
xác thực sinh trắc học cccd quét mộc đỏ lẹ nghen tui,1
chứng thực văn bản ở ủy ban rứa lâu lắc vãi anh,1
làm sổ hồng mà bòn tiền rứa chi bôi trơn nờ chị,1
hệ thống quốc gia xác minh mặt lag tung chảo nghen mầy,1
nộp thuế thu nhập ói máu me nợ trốn rứa nhỏ đó,1
lệ phí xin cấp phép rắc rối miết dằn dơ hỉ ông nội,1
cán bộ thuế truy thu xạo xự nghen tui,1
đóng tiền phạt nguội lẹ mần giấy rẹt rẹt nờ anh,1
quét vân tay định danh lằng nhằng rứa chị,1
thuế doanh nghiệp đè đầu sấp mặt vãi chưởng mọi người,1
chuẩn bị biên lai đỏ mộc chà bá nghen nhỏ đó,1
đăng kiểm xe rớt tào lao nờ mầy,1
đóng thuế đất xót ruột quá xá tui rứa,1
xác thực sinh trắc học cccd nờ ông nội,1
thủ tục hành chánh rườm rà rắc rối nghen bà ngoại,1
chứng thực văn bản nộp tiền chém đẹp rứa thằng kia,1
mạng lắc tung chảo rớt sóng ầm ầm nờ anh,2
cập nhật căn cước cho sim lẹ đi không khóa chiều tui,2
sim rác bạt ngàn quảng cáo nhen chặn lẹ rứa chị,2
kiểm tra tổng đài chờ muốn chết tịt ngòi sóng di động hỉ mầy,2
trừ cước bậy bạ đăng kí gói tào lao nờ ông nội,2
gia hạn gói bốn gờ trừ tiền rẹt rẹt nợ ngập mặt nhỏ đó,2
nhá cúp nhá cúp gọi câu cước rác rứa ác ác mọi người,2
mobi vina truy cập rùa bò bóp rớt sóng nghen thằng kia,2
báo hỏng đứt cáp quang quanh năm yếu xìu rứa bà ngoại,2
nhà mạng tự gắn nhạc chờ trừ tiền ngầm nờ tui,2
cước gọi cắt cổ vãi chưởng quốc tế phí chát nghen mầy,2
cú pháp tự dưng trừ tiền xạo xự mạng đơ rứa anh,2
chặn mẹ cái nhóm số rác nhá miết vãi hỉ chị,2
cước tháng vống lên trời nờ đóng xót ruột ông nội,2
chuyển vùng cuốc tế tốn tiền chà bá kẹt nghen nhỏ đó,2
đứt cáp quang biển lag tung chảo rứa tui,2
vina mobi tịt ngòi sóng nờ mọi người,2
cước điện thoại trừ bậy bạ quá xá nghen mầy,2
sim rác nhá máy dằn dơ vãi chưởng anh,2
chuẩn hóa thuê bao lẹ hỉ nhỏ đó,2
gọi tổng đài chờ mỏi cẳng tào lao nờ ông nội,2
ép đăng ký bốn gờ cắn tiền rẹt rẹt rứa chị,2
cước tháng vống lên chém đẹp nghen thằng kia,2
chặn số rác quảng cáo điên đầu rứa tui,2
mạng đơ nhấp link trừ cước ngầm nờ bà ngoại,2
nhấn link độc dính mã tống tiền bay facebook rứa anh,3
bọn hacker hack mẹ tài khoản zalo lẹ hỉ mầy,3
cài app tào lao theo dõi lén dằn dơ nờ tui,3
virus cắn nát điện thoại report sập nick rẹt rẹt chị,3
nhập mã otp ăn cắp liền bóc phốt mạo danh nhen ông nội,3
