text,label
"alo em ơi, VNeID anh bị lỗi xác thực khuôn mặt, click vào link này cài lại app nhé",1
"Cơ quan DVC thông báo tài khoản định danh bị khóa, cài app apk này để mở lại",1
"anh ơi do thay đổi chính sách, VNeID cần cấp quyền trợ năng cho ứng dụng mới",1
"Sở Tư pháp gửi thông báo cập nhật sinh trắc học VNeID qua đường link dvc-update.vn",1
"tải app VNeID bản mới tại đây, bản trên CH Play đã hết hạn rồi ạ",1
"em là cán bộ hỗ trợ VNeID, share màn hình để em kiểm tra lỗi giúp anh nhé",1
"CCCD chip của chị bị lỗi dữ liệu, cần cài đặt ứng dụng bổ sung từ link này",1
"do sáp nhập hành chính, hộ khẩu điện tử cần được kích hoạt lại qua app DVC mới",1
"ê m ơi tải v.n.ê.i.d bản mới đi, bản cũ trên store bị lỗi rồi nha",1
"VNeID bảo cần xác thực lại mặt, nhấn link dvc.gov.vn-update.apk để làm",1
"click vào đây cài VNeID mới nhất nha chị, phiên bản trên store hết hạn r",1
"anh share màn hình cho em check lỗi VNeID giùm, chỉ mất 2 phút thôi",1
"dcm cái vneid hỏng r, tải file apk t gửi đi m, trên store toàn bản lỗi",1
"hệ thống DVC phát hiện sai lệch sinh trắc, yêu cầu đăng nhập qua cổng phụ này",1
"em gọi từ trung tâm hỗ trợ VNeID, sim anh bị trùng số CCCD cần xác minh gấp",1
"alo chị ơi thẻ CCCD gắn chip bị lỗi NFC, cần cài app hỗ trợ từ đường link này",1
"ê download cái app vneid từ link kia đi, ko down là mốt bị khoá cccd đó nghen",1
"cập nhật VNeID phiên bản 4.0 qua link apk, bản store chưa có tính năng mới",1
"m ơi vneid báo lỗi r, share MH cho t check liền nha, ét ô ét lun á",1
"cơ quan hành chính gửi link cài đặt DVC mới, không cài sẽ mất quyền truy cập",1
"Bạn có khoản trợ cấp BHXH 15 triệu chưa nhận, nộp 1 triệu phí hồ sơ để giải ngân",1
"sổ BHXH của bạn sắp hết hạn ngày 30/4, nộp 500k phí gia hạn qua tài khoản này",1
"Cơ quan BHXH phát hiện sai thông tin bảo hiểm y tế, cung cấp OTP để cập nhật",1
"BHXH VN thông báo có khoản bồi thường tai nạn lao động, click link nhận tiền",1
"ê sổ bhxh của m bị sai info r, gửi cmnd + otp t sửa giùm",1
"dcm bhxh báo nộp 2 củ phí xử lý mới cho rút tiền trợ cấp, c.k vô stk này",1
"bạn t làm bên bhxh bảo check sổ bảo hiểm qua app fake lun nè, link tao gửi đó",1
"BHXH tỉnh thông báo chị có khoản thai sản 18 triệu, nộp phí xác nhận 800k",1
"hệ thống VssID phát hiện trùng mã số BHXH, yêu cầu xác minh qua link web",1
"em là nhân viên BHXH quận 1, sổ anh bị khóa do nợ phí, nộp 3 triệu mở lại",1
"app VssID bị lỗi, tải bản apk mới từ link này để tiếp tục tra cứu bảo hiểm",1
"c.k 500k phí hồ sơ bhxh đi m, mai hết hạn là mất hết quyền lợi bảo hiểm đó",1
"Trung tâm BHXH thông báo bạn đủ điều kiện nhận trợ cấp thất nghiệp, link đăng ký",1
"số sổ bhxh bị trùng với người khác, cần cung cấp OTP ngân hàng để xác thực",1
"t vừa nhận tin nhắn bhxh bảo r, nộp 1 triệu là rút 20 triệu trợ cấp nè ae",1
"sổ bhyt hết hạn r nha, gửi stk + otp cho t gia hạn lẹ kẻo bệnh viện ko nhận",1
"alo tui từ cơ quan BHXH ne, acc VssID bị khóa r, tải app này mở lại dum",1
"bhxh thông báo hoàn tiền đóng thừa 5 triệu, xác nhận qua link dưới đây",1
"em ơi sổ BHXH của chị bị lỗi hệ thống, share màn hình để em hỗ trợ sửa nha",1
"app VssID update bản mới, tải apk từ link tui gửi vì bản store bị delay",1
"khoản trợ cấp BHXH 10 triệu đã duyệt, đóng phí xử lý 2 triệu để nhận tiền",1
"dcm cái vssid bị lag quá, nhấn link BHXH t gửi kiểm tra lại sổ đi m",1
"BHXH huyện gọi thông báo sổ bảo hiểm bị lỗi dữ liệu, yêu cầu cập nhật qua link",1
"chị bị sai thông tin BHXH, gọi video share màn hình cho em kiểm tra giúp nha",1
"ê m check coi bhxh trả lời gì chưa, click link này đi, k click mất tiền đó",1
"BHXH thông báo bạn có khoản thai sản đã duyệt, nhập OTP 6 số để xác nhận nhận tiền",1
"sổ BHXH bạn bị đánh dấu gian lận, nộp 5 triệu ký quỹ để gỡ lệnh phong tỏa",1
"VssID yêu cầu xác thực sinh trắc học qua link mới, link store đã hết hiệu lực",1
"bảo hiểm y tế của em hết hạn 15/4, nạp 300k qua ví momo để gia hạn online",1
"ae ơi t vừa bị lừa mất 2 củ vì tải app bhxh fake, cẩn thận link lạ nha",1
"BHXH Việt Nam xin thông báo: mã số BHXH của bạn bị trùng, cấp quyền trợ năng để xử lý",1
"cán bộ phường gọi bảo VNeID cần cài thêm phần mềm hỗ trợ, gửi link apk",1
"ê tải cái DVC này nha, cái trên google store lỗi r, cái này ấp đết mới",1
"định danh điện tử bị vô hiệu hóa, gọi hotline 1900xxxx để kích hoạt lại ngay",1
"m ơi hé, VNeID full crack nè, tải file apk này đi không phải xác thực gì hết",1
"DVC thông báo: tài khoản dịch vụ công bị khóa do phát hiện đăng nhập bất thường",1
"cơ quan BHXH triệu tập anh ra trình diện ngày mai, nộp 3 triệu phí xử lý vi phạm",1
"ê t bên trung tâm DVC nè, acc m bị ai hack r, share MH t fix cho",1
"Dịch vụ công quốc gia thông báo giấy tờ bị lỗi số hóa, tải ứng dụng bổ sung ngay",1
"bhxh quận thông báo sổ bị khóa do trễ hạn đóng, chuyển 700k để mở",1
"hệ thống DVC vừa nâng cấp, tải bản apk mới vì app store chưa cập nhật kịp",1
"em nghe nói app VNeID trên store bị lỗi bảo mật, tải bản an toàn từ link này",1
"BHXH gửi tin nhắn báo tiền thai sản 12 triệu đã duyệt, nộp phí hồ sơ 1.5 triệu",1
"alo chị, tui cán bộ bhxh ne, sổ chị bị kẹt hệ thống, đọc mã OTP để tui reset",1
"click dô link tải VNeID mới đi ae, bản cũ nó ngốn pin lắm, bản này xịn hơn",1
"alo anh ơi em từ VNeID, tài khoản anh bị đánh dấu bất thường, cần xác minh ngay",1
"VssID phiên bản mới yêu cầu cấp quyền camera và microphone để xác thực sinh trắc",1
"alo m là cán bộ BHXH nè, sổ bị trùng mã r, c.k 1 triệu ký quỹ xác nhận",1
"hệ thống VNeID gặp sự cố đồng bộ, tải bản patch từ link này để sửa lỗi",1
"BHXH thông báo quyết định hưởng chế độ hưu trí, nộp 2 triệu phí thủ tục",1
"ae cẩn thận mấy cái link giả VNeID nhé, đứa nào gửi link apk là scam đó",1
"do thay đổi chính sách mới, định danh điện tử cần được đăng ký lại qua link web",1
"bhxh bảo sổ t bị deactivate r, c.k 500k để active lại kẻo mất quyền lợi",1
"ê m ơi VNeID ko vô đc á, có ai cho t mượn otp xác thực ko, chằm zn",1
"Tôi là cán bộ công an quận 3, anh đang bị liên quan đường dây buôn lậu",0
"tòa án gửi lệnh triệu tập anh, nếu không ra trình diện sẽ bị dẫn giải",0
"Alo, tôi đại úy Nguyễn Văn A phòng CSHS, yêu cầu anh hợp tác điều tra",0
"số CMND của anh liên quan vụ án ma túy xuyên quốc gia, phải chuyển tiền bảo lãnh",0
"công an khu vực yêu cầu đóng 3 triệu phí xác minh nhân thân, chuyển ngay",0
"viện kiểm sát triệu tập chị ra tòa ngày mai, nộp 10 triệu tạm ứng án phí",0
"ê m ơi can gọi bảo t dính hs rửa tiền, đòi 50 củ bảo lãnh lun luôn",0
"vãi chưởng c0ng 4n quận gọi nói ba t bị bắt, ck tiền chuộc 30 củ",0
"alo tui thiếu tá CA ne, mi bị lệnh truy nã r, ck 20 củ lo lót ko thì bế đi",0
"SOS ae ơi t bị mấy thằng xưng CA gọi đe dọa, đòi ck tiền bảo lãnh",0
"Cảnh sát hình sự P. Bình Thạnh thông báo anh bị kiện lừa đảo, cần nộp tiền thế chấp",0
"CA gọi bảo con gái anh dính ma túy bị bắt tại trận, nộp 100 triệu bảo lãnh tại ngoại",0
"dcm tưởng ai hoá ra lừa đảo, nó xưng CA bắt ck 5 củ phí xử lý hồ sơ",0
"thiếu tá Trần CA phường gọi, CMND bạn bị dùng mở thẻ rửa tiền, cần xác minh",0
"alo em ơi, CA quận Hoàn Kiếm thông báo em bị liên quan tội rửa tiền, giữ bí mật nhé",0
"tui cán bộ tòa án nè, anh bị khởi tố r, nộp 15 triệu án phí kẻo bắt giam",0
"m ơi CA bảo t liên quan đường dây, đòi c.k 20 củ ko thì bế đi á, lo vl",0
"ê bị can gọi bảo dính án xuyên quốc gia, đọc otp cho nó verify nhé",0
"alo chị là công an khu vực, yêu cầu chuyển 2 triệu phí đăng ký tạm trú",0
"chánh án tòa tối cao gọi, anh bị dính líu đường dây lừa đảo quốc tế, ck tiền xử lý",0
"t CA gọi nè, m có 24h để ck 50 món ko vô bót ngồi luôn nha",0
"CA gọi bảo nhà m dính vụ án pháo lậu, ck phí cho tui lo r ko bị bắt hết",0
"ê m ơi coi chừng, thằng nào gả CA quận 7 gọi bảo dính án, đòi tiền bảo lãnh",0
"SOS t mới bị CA gọi xong, bảo ck tiền chạy án 30 củ, help pls!!",0
"alo tui thượng tá phòng PCCC, nhà anh bị lập biên bản vi phạm, nộp phạt 5 triệu ngay",0
"công an tỉnh gửi lệnh khẩn cấp, tài khoản anh bị nghi rửa tiền, cần phong tỏa",0
"ca gọi bảo thẻ ATM t đang bị dùng trái phép, đọc otp đi xác minh",0
"ê m bị can quận gọi chưa, nó bảo dính hs lừa đảo, ck 10 củ chạy r nha",0
"viện ksnd triệu tập em ra trình diện, ko đi sẽ có lệnh bắt giữ tạm giam",0
"mãi keo can ph gọi bảo phạt nguội 3 triệu, ck lẹ kẻo bị giữ bằng lái m",0
"Hệ thống ATM thông báo giao dịch đáng ngờ, bấm link xác nhận hoặc tài khoản bị khóa",0
"CA phường gọi, bảo m có lệnh triệu tập liên quan buôn bán chất cấm, ck tiền lo",0
"alo tui trung tá Lê Minh, phòng CSĐT, m bị tố cáo lừa đảo chiếm đoạt tài sản",0
